N	3gram	Losev_Prob_3	VerxiiNi
1	во всяком случае	6	6
2	с точки зрения	2	6
3	по крайней мере	5	5
4	до сих пор	2	5
5	о том что	3	4
6	в конце концов	3	3
7	точно так же	3	3
8	в связи с	7	3
9	тем не менее	10	3
10	в том что	9	3
11	то ни было	3	2
12	можно сказать что	2	2
13	может быть даже	3	2
14	по сравнению с	2	2
15	в том виде	2	2
16	то или иное	2	2
17	той или иной	8	2
18	бы то ни	4	2
19	и в этом	6	2
20	этой точки зрения	2	2
21	может быть и	3	2
22	в то же	4	2
23	то же самое	7	2
24	ничего общего с	2	2
