N	2gram	Tiupa_Anal_3	Vvedenie
1	и в	18	32
2	в том	9	31
3	в этом	14	30
4	может быть	9	26
5	том что	12	26
6	не только	22	22
7	таким образом	4	19
8	то что	2	16
9	не может	2	14
10	в самом	5	13
11	в нем	2	13
12	о том	6	13
13	со стороны	9	13
14	в общем	2	12
15	в их	6	12
16	и не	12	12
17	представляет собой	5	12
18	в его	7	12
19	только в	2	12
20	в ее	3	11
21	в данном	4	11
22	что в	9	10
23	но в	2	9
24	и как	4	9
25	между тем	5	9
26	по себе	4	9
27	то же	3	9
28	в той	2	9
29	не менее	4	8
30	с другой	7	8
31	это не	2	8
32	тем не	2	8
33	не в	6	8
34	именно в	3	8
35	прежде всего	5	7
36	точки зрения	3	7
37	но не	7	7
38	было бы	3	7
39	все же	4	7
40	дело с	3	7
41	самом деле	2	7
42	из этих	3	6
43	же время	3	6
44	один из	2	6
45	но и	13	6
46	все это	3	6
47	и даже	8	6
48	в то	3	6
49	его в	3	6
50	с тем	2	6
51	как и	14	6
52	в качестве	12	6
53	и его	13	6
54	тем что	2	6
55	уже в	3	5
56	как бы	10	5
57	в целом	3	5
58	данном случае	3	5
59	другой стороны	5	5
60	с их	3	5
61	сказать что	2	5
62	мере в	2	5
63	в них	2	5
64	об этом	2	5
65	по своему	2	5
66	не есть	4	5
67	вместе с	2	5
68	а не	9	5
69	что не	3	5
70	могут быть	2	5
71	в каждом	3	4
72	как уже	2	4
73	одной стороны	2	4
74	о чем	4	4
75	всяком случае	2	4
76	в тексте	9	4
77	по отношению	7	4
78	в особенности	3	4
79	этом отношении	3	4
80	еще и	3	4
81	с одной	2	4
82	а в	10	4
83	в первом	2	4
84	как это	3	4
85	мы имеем	5	4
86	по крайней	4	4
87	что он	4	4
88	еще не	6	4
89	крайней мере	4	4
90	отношению к	7	4
91	внимание на	4	4
92	как раз	7	4
93	уже не	5	4
94	и для	2	4
95	той же	5	4
96	во всяком	2	4
97	и ее	2	4
98	в себе	2	4
99	и т.д	2	4
100	сама по	2	3
101	в частности	12	3
102	в конце	5	3
103	бы и	2	3
104	можно сказать	4	3
105	к тому	6	3
106	да и	2	3
107	в этой	6	3
108	при этом	11	3
109	такого рода	5	3
110	хотя и	2	3
111	в ней	2	3
112	в конечном	2	3
113	во второй	7	3
114	дело не	3	3
115	что она	2	3
116	в своем	4	3
117	все эти	2	3
118	и вот	2	3
119	свое время	2	3
120	и на	4	3
121	в результате	5	3
122	говорить о	3	3
123	в начале	6	3
124	однако в	5	3
125	не как	2	3
126	к этому	3	3
127	и к	4	3
128	говорит о	2	3
129	в одном	4	3
130	в сущности	5	3
131	в свое	2	3
132	а также	2	3
133	гораздо более	2	3
134	что и	5	3
135	дело в	2	3
136	своего рода	8	3
137	но с	2	3
138	ответ на	3	3
139	никогда не	5	2
140	или иной	5	2
141	в дальнейшем	2	2
142	тем или	2	2
143	что несмотря	2	2
144	обе эти	2	2
145	и сам	4	2
146	несмотря на	2	2
147	и той	2	2
148	в форме	2	2
149	не было	3	2
150	во втором	4	2
151	произведения и	2	2
152	к тексту	2	2
153	не мог	2	2
154	в принципе	2	2
155	по его	3	2
156	не столько	3	2
157	с этим	3	2
158	нуждается в	2	2
159	он и	3	2
160	той или	3	2
161	нам не	2	2
162	и здесь	2	2
163	когда мы	2	2
164	так и	14	2
165	художественной литературы	2	2
166	истории не	2	2
167	состоит в	4	2
168	есть не	2	2
169	не с	2	2
170	о которых	2	2
171	в соответствии	2	2
172	того же	5	2
173	во всех	2	2
174	что мы	2	2
175	без остатка	2	2
176	или иным	2	2
177	этого слова	2	2
178	входит в	2	2
179	тогда как	20	2
180	хотя в	2	2
181	одной и	2	2
182	о которой	2	2
183	в значительной	2	2
184	с точки	2	2
185	мы не	3	2
186	тому как	2	2
187	мы можем	2	2
188	подобно тому	3	2
189	однако с	3	2
190	здесь не	3	2
191	одна из	2	2
192	ничего не	3	2
193	нашего времени	3	2
