N	2gram	Medvedev_F_2	Komedia
1	и в	38	22
2	т е	26	13
3	том что	2	12
4	в том	11	11
5	но и	13	11
6	не только	9	10
7	из них	4	10
8	в то	5	10
9	как и	9	9
10	и т	14	9
11	может быть	23	9
12	таким образом	20	8
13	должны были	2	8
14	и не	20	8
15	и его	21	8
16	едва ли	2	7
17	в этой	6	7
18	и других	2	7
19	что в	7	6
20	в конце	2	6
21	одного из	3	6
22	в годы	3	6
23	что он	5	6
24	к тому	4	6
25	ни в	2	6
26	и по	2	6
27	то же	6	6
28	не в	15	6
29	а в	6	6
30	в которой	2	6
31	уже в	2	5
32	с другой	3	5
33	прежде всего	15	5
34	при этом	9	5
35	в его	10	5
36	один из	2	5
37	в истории	6	5
38	так и	8	5
39	как в	4	5
40	все это	3	5
41	другой стороны	4	5
42	и даже	4	5
43	потому что	2	5
44	т п	9	5
45	между тем	2	5
46	именно в	5	4
47	в их	6	4
48	к этому	4	4
49	как мы	7	4
50	в в	2	4
51	что они	4	4
52	в качестве	2	4
53	же время	5	4
54	в котором	2	4
55	в нем	13	4
56	что и	8	4
57	так в	3	4
58	т д	5	4
59	тем что	8	4
60	в результате	6	4
61	точки зрения	8	4
62	конце концов	2	4
63	так как	4	4
64	но в	4	4
65	место в	3	3
66	же как	3	3
67	главным образом	3	3
68	все более	2	3
69	идет о	2	3
70	в тех	2	3
71	включая сюда	2	3
72	и как	3	3
73	их к	3	3
74	во второй	2	3
75	и о	2	3
76	хотя и	3	3
77	он не	6	3
78	даже в	2	3
79	все же	8	3
80	в целом	3	3
81	отношение к	2	3
82	всего в	2	3
83	этом отношении	7	3
84	в последних	2	3
85	все остальные	2	3
86	мы не	3	3
87	как раз	6	3
88	каждый из	3	3
89	и на	3	3
90	за счет	4	3
91	или вовсе	2	3
92	в этом	27	3
93	и с	9	3
94	могут быть	6	3
95	и ее	6	3
96	только в	6	3
97	и все	3	3
98	его в	3	3
99	в чем	2	3
100	как это	2	3
101	ничего не	4	3
102	времени и	2	2
103	и здесь	3	2
104	независимо от	4	2
105	для них	3	2
106	то ни	2	2
107	столь же	2	2
108	здесь и	4	2
109	к сожалению	2	2
110	и теперь	4	2
111	вовсе не	11	2
112	мы знаем	3	2
113	он был	2	2
114	мы видели	4	2
115	а к	2	2
116	должна была	2	2
117	такой же	3	2
118	из всего	3	2
119	на этом	2	2
120	но не	2	2
121	совсем не	2	2
122	именно на	3	2
123	время и	3	2
124	до конца	2	2
125	было бы	6	2
126	со своей	2	2
127	в самом	16	2
128	всяком случае	5	2
129	и тем	2	2
130	то что	6	2
131	не к	2	2
132	вместе с	6	2
133	ее в	2	2
134	со стороны	2	2
135	всего этого	5	2
136	находится в	2	2
137	даже не	2	2
138	то и	3	2
139	для этого	2	2
140	в сущности	4	2
141	не может	14	2
142	в других	7	2
143	к нему	3	2
144	быть даже	2	2
145	правда в	2	2
146	или в	3	2
147	но это	2	2
148	не следует	4	2
149	во всяком	5	2
150	чем же	3	2
151	это время	2	2
152	на нем	2	2
153	отличие от	2	2
154	в области	3	2
