N	3gram	Tiupa_Disk_1	Analitik
1	о блудном сыне	4	11
2	в том что	13	7
3	по отношению к	9	7
4	о том что	5	5
5	с другой стороны	3	5
6	мы имеем дело	2	4
7	по крайней мере	2	4
8	в свою очередь	3	4
9	и того же	2	3
10	то же время	4	3
11	одного и того	2	3
12	в данном случае	2	3
13	той или иной	3	3
14	участников коммуникативного события	2	3
15	к тому же	4	3
16	в то же	3	3
17	в отличие от	4	2
18	можно сказать что	2	2
19	в значительной степени	2	2
20	как к содержанию	2	2
21	и в форме	2	2
22	индивидуального речевого замысла	2	2
23	не более чем	2	2
24	едва ли не	2	2
25	тот или иной	2	2
26	подобно тому как	2	2
27	притча и анекдот	2	2
28	жанры как формы	2	2
29	с одной стороны	9	2
30	а в том	2	2
