N	2gram	Tiupa_Anal_1	Dialekti
1	не есть	8	40
2	и не	21	30
3	и есть	3	19
4	а не	17	18
5	может быть	29	17
6	и т	3	17
7	то что	6	16
8	и в	18	15
9	как бы	5	14
10	так как	2	14
11	точки зрения	6	14
12	того что	4	13
13	по себе	4	13
14	это не	6	12
15	прежде всего	6	11
16	в том	27	11
17	не может	22	11
18	и все	3	11
19	в этом	13	11
20	она есть	2	10
21	в основе	6	10
22	потому что	2	10
23	том что	12	10
24	было бы	2	9
25	то же	9	9
26	уже не	4	9
27	с точки	4	9
28	ни в	4	8
29	не в	14	8
30	что иное	5	8
31	иное как	5	8
32	не что	4	8
33	в себе	11	8
34	и о	2	8
35	не только	15	8
36	что в	5	7
37	что именно	2	7
38	не просто	2	7
39	что мы	3	7
40	личность есть	2	7
41	что он	3	7
42	как и	13	7
43	и его	5	7
44	только в	6	7
45	же время	6	6
46	а именно	3	6
47	вовсе не	2	6
48	если бы	3	6
49	тем более	2	6
50	в то	9	6
51	что и	3	6
52	нет ничего	2	6
53	так и	4	5
54	можно сказать	2	5
55	того чтобы	3	5
56	в нем	3	5
57	таким образом	3	5
58	именно в	4	5
59	и на	5	5
60	о том	5	5
61	мы имеем	6	5
62	с его	3	5
63	личности в	3	5
64	тогда когда	2	5
65	есть не	8	5
66	субъекта и	4	5
67	то в	2	5
68	в сущности	6	5
69	в себя	6	5
70	для того	4	5
71	той же	2	5
72	и как	5	4
73	в этой	5	4
74	один из	2	4
75	ни с	3	4
76	но и	17	4
77	тех или	2	4
78	или не	2	4
79	также и	2	4
80	и с	2	4
81	не о	2	4
82	той или	6	4
83	бытия и	2	4
84	отнюдь не	15	4
85	то ни	3	4
86	еще не	3	4
87	хотя бы	3	4
88	тому как	3	4
89	в силу	3	4
90	в его	13	4
91	подобно тому	3	4
92	только для	2	3
93	смысла и	3	3
94	не всегда	4	3
95	в собственном	3	3
96	на этом	2	3
97	тем самым	7	3
98	себя и	4	3
99	не говоря	2	3
100	в их	5	3
101	ни чисто	2	3
102	смысл и	3	3
103	отношения к	2	3
104	все эти	2	3
105	с ним	4	3
106	но в	8	3
107	только не	2	3
108	и та	2	3
109	за пределы	2	3
110	в своей	6	3
111	и потому	2	3
112	со стороны	2	3
113	при помощи	2	3
114	что не	3	3
115	из которых	4	3
116	в данном	2	3
117	и то	2	3
118	могут быть	4	3
119	едва ли	2	3
120	в области	4	3
121	в противоположность	2	2
122	не могут	3	2
123	в частности	19	2
124	из этих	2	2
125	личности а	2	2
126	на все	2	2
127	вопрос о	2	2
128	это как	2	2
129	при этом	12	2
130	случае не	2	2
131	в самом	6	2
132	от себя	3	2
133	совпадает с	2	2
134	никогда не	2	2
135	в котором	3	2
136	из них	2	2
137	из возможных	2	2
138	другой стороны	2	2
139	для этого	2	2
140	быть не	3	2
141	лишь в	5	2
142	и по	2	2
143	должно быть	2	2
144	того или	3	2
145	а как	2	2
146	однако в	3	2
147	но о	2	2
148	думать что	2	2
149	в коем	2	2
150	все же	4	2
151	не будет	3	2
152	в качестве	31	2
153	бы ни	2	2
154	никто не	3	2
155	в свое	2	2
156	о нем	3	2
157	нет и	2	2
158	коем случае	2	2
159	себя в	6	2
160	вместе с	4	2
161	что же	2	2
162	художественное произведение	5	2
163	и тогда	2	2
164	собственно говоря	4	2
165	бы не	2	2
166	ничто не	2	2
167	как будто	3	2
168	в которой	2	2
169	отличие от	6	2
