N	2gram	Potebnia_M_2	Vvedenie
1	и т	6	42
2	т д	3	36
3	и в	24	32
4	в том	18	31
5	в этом	8	30
6	может быть	23	26
7	том что	8	26
8	не только	15	22
9	для того	5	21
10	того чтобы	2	20
11	таким образом	11	19
12	то что	20	16
13	потому что	49	15
14	так как	10	15
15	не может	12	14
16	в самом	4	13
17	в нем	9	13
18	о том	5	13
19	со стороны	3	13
20	того что	7	12
21	в общем	2	12
22	и не	19	12
23	как на	3	12
24	в его	2	12
25	только в	11	12
26	что такое	2	11
27	языка и	3	10
28	что в	16	10
29	но в	4	9
30	и как	6	9
31	между тем	6	9
32	этом смысле	2	9
33	по себе	15	9
34	то же	12	9
35	не менее	5	8
36	с другой	6	8
37	это не	3	8
38	а только	8	8
39	тем не	6	8
40	не в	13	8
41	прежде всего	7	7
42	вопрос о	2	7
43	смысле этого	3	7
44	о котором	2	7
45	но не	12	7
46	было бы	13	7
47	все же	5	7
48	самом деле	2	7
49	только как	6	7
50	не могут	7	6
51	из этих	4	6
52	до сих	4	6
53	же время	2	6
54	один из	2	6
55	но и	9	6
56	все это	2	6
57	в то	6	6
58	его в	3	6
59	как он	4	6
60	с тем	4	6
61	вовсе не	9	6
62	как и	7	6
63	сих пор	4	6
64	хотя бы	2	6
65	и его	2	6
66	тем что	7	6
67	и это	2	6
68	уже в	5	5
69	в какой	2	5
70	так что	10	5
71	так например	3	5
72	она есть	2	5
73	но если	2	5
74	как бы	9	5
75	и тем	3	5
76	в целом	3	5
77	другой стороны	2	5
78	сказать что	2	5
79	в них	5	5
80	как например	3	5
81	не есть	6	5
82	вместе с	11	5
83	т п	3	5
84	а не	18	5
85	что не	5	5
86	могут быть	8	5
87	на вопрос	3	4
88	независимо от	9	4
89	в каждом	2	4
90	одной стороны	3	4
91	всяком случае	7	4
92	в котором	4	4
93	по мере	5	4
94	по отношению	2	4
95	с одной	4	4
96	и что	4	4
97	не имеет	6	4
98	а в	8	4
99	одно из	3	4
100	даже и	2	4
101	как это	2	4
102	взгляда на	2	4
103	по крайней	5	4
104	что он	4	4
105	еще не	4	4
106	крайней мере	5	4
107	только что	3	4
108	внимание на	2	4
109	уже не	4	4
110	и для	3	4
111	той же	3	4
112	и то	3	4
113	во всяком	7	4
114	само по	2	4
115	в себе	10	4
116	быть названо	2	4
117	совсем не	2	3
118	зависит от	2	3
119	сама по	2	3
120	что это	3	3
121	и есть	2	3
122	в этих	3	3
123	а потому	5	3
124	в собственном	2	3
125	что может	2	3
126	только по	3	3
127	но все	2	3
128	на этом	2	3
129	но что	2	3
130	что с	2	3
131	при этом	13	3
132	от себя	2	3
133	хотя и	3	3
134	в ней	3	3
135	то это	3	3
136	и уже	5	3
137	из них	5	3
138	что она	3	3
139	отношений между	3	3
140	все эти	2	3
141	и других	2	3
142	так же	2	3
143	и на	8	3
144	смысле как	2	3
145	тогда когда	10	3
146	если бы	11	3
147	не как	3	3
148	к этому	2	3
149	связи с	6	3
150	в чем	7	3
151	в одном	6	3
152	как оно	2	3
153	что и	11	3
154	в каком	3	3
155	и вообще	3	3
156	никогда не	4	2
157	них не	3	2
158	тому что	2	2
159	по времени	3	2
160	мы называем	3	2
161	точно так	9	2
162	но это	3	2
163	такого же	2	2
164	что если	6	2
165	другого рода	2	2
166	как совокупность	2	2
167	и той	2	2
168	мог бы	3	2
169	нужно знать	2	2
170	нами не	2	2
171	от того	5	2
172	вообще и	2	2
173	в связи	2	2
174	мы говорим	3	2
175	не было	6	2
176	и наоборот	5	2
177	к таким	2	2
178	есть только	6	2
179	должно быть	2	2
180	рядом с	3	2
181	не столько	2	2
182	с этим	7	2
183	нам не	2	2
184	и здесь	2	2
185	когда мы	2	2
186	бы в	2	2
187	так и	5	2
188	этого не	2	2
189	состоит в	2	2
190	значение и	2	2
191	есть не	5	2
192	не с	3	2
193	о которых	3	2
194	у нас	2	2
195	невозможно но	2	2
196	и при	3	2
197	того же	14	2
198	во всех	7	2
199	что мы	11	2
200	мы должны	2	2
201	с теми	2	2
202	ни с	2	2
203	этого слова	6	2
204	для нее	2	2
205	одно целое	4	2
206	в создании	3	2
207	и тогда	3	2
208	вряд ли	3	2
209	в языке	3	2
210	связь между	2	2
211	тогда как	10	2
212	того как	7	2
213	например что	2	2
214	одной и	2	2
215	о которой	3	2
216	между ними	2	2
217	к языку	4	2
218	мы не	11	2
219	тому как	4	2
220	мы можем	12	2
221	подобно тому	4	2
222	в другом	2	2
223	или нет	3	2
224	одна из	4	2
225	если это	2	2
226	но вместе	2	2
227	что нет	2	2
