N	2gram	Berdyaev_N_1	Formalny
1	и в	16	38
2	в этом	7	27
3	может быть	7	23
4	и пр	3	21
5	и не	11	20
6	прежде всего	4	15
7	не в	6	15
8	не может	16	14
9	в нем	5	13
10	но и	3	13
11	с его	6	11
12	с тем	3	11
13	в том	8	11
14	и с	2	9
15	как и	7	9
16	не только	5	9
17	так и	2	8
18	что в	9	7
19	по существу	2	7
20	в своей	3	7
21	лишь в	6	7
22	уже не	2	7
23	не было	4	6
24	все время	2	6
25	то что	4	6
26	в истории	3	6
27	в ней	5	6
28	вместе с	2	6
29	все эти	2	6
30	а не	17	6
31	могут быть	2	6
32	он не	8	6
33	а в	2	6
34	хотя бы	2	6
35	должна быть	3	5
36	это и	2	5
37	во всех	3	5
38	с этим	2	5
39	и для	4	5
40	в основе	3	5
41	в то	2	5
42	и должно	2	5
43	к тому	3	4
44	и к	5	4
45	в высшей	6	4
46	как в	3	4
47	другой стороны	2	4
48	мы говорим	2	4
49	и даже	2	4
50	высшей степени	6	4
51	но в	2	4
52	же как	2	3
53	место в	2	3
54	с другой	3	3
55	должно было	2	3
56	не есть	3	3
57	жизни и	8	3
58	все это	5	3
59	такой же	2	3
60	того чтобы	2	3
61	роль в	2	3
62	мы не	2	3
63	и на	2	3
64	хотя и	2	3
65	и все	4	3
66	это было	3	3
67	времени и	2	2
68	никогда не	6	2
69	для этого	2	2
70	это не	4	2
71	в ее	3	2
72	том что	2	2
73	но это	6	2
74	но не	2	2
75	совсем не	12	2
76	она не	3	2
77	ни одна	2	2
78	центр тяжести	2	2
79	этом смысле	2	2
80	не будет	7	2
81	не к	2	2
82	ни в	6	2
83	равно как	2	2
84	в эпоху	9	2
85	не имеет	4	2
86	должно быть	4	2
87	есть лишь	4	2
88	формы и	2	2
89	сказать что	3	2
90	и от	2	2
91	и это	2	2
92	потому что	4	2
93	от всякого	2	2
94	как это	2	2
95	не могли	2	2
