N	2gram	Bakhtin_Pr_3	Vvedenie
1	и в	53	32
2	в том	14	31
3	в этом	8	30
4	может быть	12	26
5	том что	5	26
6	не только	4	22
7	таким образом	6	19
8	также и	4	18
9	то что	9	16
10	потому что	5	15
11	так как	7	15
12	не может	2	14
13	в самом	2	13
14	в нем	10	13
15	о том	2	13
16	в их	2	12
17	и не	15	12
18	в его	8	12
19	только в	4	12
20	как мы	5	11
21	в ее	3	11
22	что в	2	10
23	но в	5	9
24	в истории	3	9
25	между тем	2	9
26	то же	6	9
27	в той	2	9
28	не менее	3	8
29	с другой	2	8
30	это не	6	8
31	тем не	2	8
32	не в	2	8
33	именно в	2	8
34	прежде всего	15	7
35	в большей	2	7
36	смысле этого	2	7
37	точки зрения	4	7
38	но не	5	7
39	было бы	5	7
40	до сих	5	6
41	же время	5	6
42	один из	6	6
43	но и	7	6
44	все это	8	6
45	и даже	2	6
46	в то	5	6
47	его в	2	6
48	как он	2	6
49	вовсе не	3	6
50	как и	11	6
51	сих пор	5	6
52	хотя бы	2	6
53	и его	10	6
54	тем что	2	6
55	и это	3	6
56	уже в	2	5
57	так например	2	5
58	как бы	14	5
59	и тем	2	5
60	одним из	3	5
61	с их	2	5
62	сказать что	10	5
63	в них	2	5
64	по своему	6	5
65	есть и	2	5
66	вместе с	2	5
67	а не	11	5
68	могут быть	4	5
69	связана с	2	4
70	в каждом	4	4
71	времени и	2	4
72	по отношению	2	4
73	в особенности	2	4
74	а в	2	4
75	даже и	2	4
76	как это	2	4
77	в чисто	2	4
78	сравнению с	4	4
79	в разных	4	4
80	что он	4	4
81	и заключается	2	4
82	еще не	5	4
83	по сравнению	4	4
84	в своей	3	4
85	истории и	2	4
86	и для	4	4
87	той же	5	4
88	и ее	6	4
89	в себе	5	4
90	и т.д	2	4
91	он сам	4	3
92	что это	2	3
93	в этих	5	3
94	или меньшей	3	3
95	в конце	3	3
96	в собственном	2	3
97	можно сказать	8	3
98	да и	2	3
99	в известной	2	3
100	большей или	3	3
101	при этом	3	3
102	хотя и	4	3
103	в ней	7	3
104	и уже	2	3
105	мы видели	2	3
106	отношение к	6	3
107	из них	4	3
108	до нас	2	3
109	все эти	9	3
110	и других	9	3
111	и на	18	3
112	говорить о	2	3
113	в начале	2	3
114	к этому	4	3
115	и к	5	3
116	европейских народов	2	3
117	что уже	2	3
118	говорит о	2	3
119	одной из	4	3
120	в сущности	10	3
121	а также	4	3
122	что и	3	3
123	своего рода	3	3
124	собственном смысле	2	3
125	второй половины	2	3
126	и вообще	3	3
127	как будто	2	3
128	в области	3	3
129	до наших	3	2
130	казалось бы	3	2
131	и другие	9	2
132	никогда не	2	2
133	это еще	2	2
134	в дальнейшем	7	2
135	но это	3	2
136	соответствии с	2	2
137	литературы в	3	2
138	обе эти	3	2
139	несмотря на	2	2
140	и той	2	2
141	наших дней	3	2
142	и др	14	2
143	жизни как	4	2
144	значение в	4	2
145	возрождения и	2	2
146	в форме	6	2
147	смысле и	2	2
148	в связи	2	2
149	не было	4	2
150	в более	4	2
151	и с	6	2
152	и так	3	2
153	с этим	2	2
154	традиции и	2	2
155	так и	6	2
156	художественной литературы	2	2
157	значение и	2	2
158	так называемая	2	2
159	по существу	5	2
160	в соответствии	2	2
161	тем более	2	2
162	литературы и	2	2
163	того же	2	2
164	во всех	12	2
165	известной мере	2	2
166	мы должны	4	2
167	жизни и	9	2
168	мы уже	5	2
169	и до	5	2
170	с ней	3	2
171	быть и	2	2
172	между ними	2	2
173	с точки	2	2
174	мы не	4	2
175	мы можем	5	2
176	еще раз	5	2
177	на протяжении	5	2
178	здесь не	4	2
179	одна из	7	2
180	ничего не	6	2
