N	2gram	Berdyaev_M_1	UchenyiS
1	и в	28	14
2	а не	25	10
3	не только	29	10
4	и не	11	8
5	прежде всего	10	8
6	то что	5	7
7	в этом	20	7
8	не может	28	7
9	может быть	30	6
10	хотя бы	3	5
11	все это	6	5
12	но и	25	4
13	в этой	6	4
14	в их	4	4
15	в россии	2	4
16	конечно не	3	4
17	но в	7	3
18	как и	5	3
19	все же	2	3
20	в своей	15	3
21	для него	11	3
22	это не	5	3
23	вряд ли	3	3
24	в то	2	3
25	не как	4	3
26	было бы	10	3
27	у нас	5	3
28	том что	3	2
29	но не	8	2
30	в том	6	2
31	не все	2	2
32	с его	3	2
33	не есть	9	2
34	не в	16	2
35	и для	2	2
36	бы и	3	2
37	должна быть	6	2
38	о чем	2	2
39	если бы	2	2
40	литературы и	2	2
41	только в	6	2
42	и с	3	2
43	тем что	4	2
44	сих пор	2	2
45	могут быть	2	2
46	даже и	2	2
47	что он	10	2
48	и у	2	2
49	в себе	7	2
50	до сих	2	2
51	пишет он	2	2
52	в конце	7	2
53	в самом	11	2
54	не могут	5	2
55	одним из	2	2
56	ничего не	3	2
57	а как	2	2
58	что и	4	2
59	в его	9	2
60	конце концов	2	2
