N	2gram	Berdyaev_O_1	DiskursI
1	в себе	3	19
2	и в	19	16
3	может быть	11	16
4	как и	6	16
5	в этом	12	16
6	и не	13	15
7	а не	11	14
8	но и	13	11
9	но в	2	11
10	том что	2	10
11	не только	11	10
12	так и	2	9
13	не может	4	9
14	в том	5	8
15	прежде всего	9	7
16	в нем	10	7
17	с его	4	6
18	еще не	3	6
19	все же	2	6
20	в своей	2	6
21	в своих	3	6
22	что в	4	5
23	в своем	2	5
24	для него	5	5
25	то что	5	5
26	и на	2	5
27	к этому	2	4
28	как бы	3	4
29	человека в	11	4
30	потому что	9	4
31	одно из	2	4
32	в этой	5	4
33	и то	2	4
34	о том	3	4
35	жизни в	2	3
36	могут быть	3	3
37	в этих	3	3
38	это не	3	3
39	и все	10	3
40	не в	11	3
41	мысль о	2	3
42	он не	7	3
43	в его	7	3
44	в русской	3	3
45	и ее	3	3
46	не было	9	3
47	все эти	4	3
48	и его	4	3
49	в другом	2	3
50	его в	2	3
51	в творчестве	5	3
52	никогда не	9	2
53	момент в	2	2
54	что он	3	2
55	образ человека	2	2
56	отношение к	5	2
57	о любви	2	2
58	что и	2	2
59	что же	2	2
60	этом мире	2	2
61	все это	6	2
62	и для	2	2
63	должно быть	2	2
64	а в	5	2
65	и с	2	2
66	в записках	3	2
