N	2gram	Bakhtin_Fr_5	Psycholo
1	то что	2	44
2	и в	45	33
3	в этом	14	28
4	как бы	12	25
5	и что	2	25
6	потому что	7	24
7	для того	6	23
8	может быть	2	22
9	том что	7	22
10	того чтобы	6	22
11	что в	12	21
12	в том	10	21
13	о том	4	20
14	что он	6	20
15	как это	4	14
16	что это	2	13
17	таким образом	8	13
18	и не	15	13
19	так же	8	13
20	сказать что	4	13
21	то есть	25	13
22	все это	7	13
23	к тому	2	12
24	в самом	4	12
25	и все	7	12
26	так как	6	12
27	было бы	2	12
28	если мы	2	12
29	самом деле	5	12
30	что все	2	11
31	он не	6	11
32	что она	3	10
33	не может	5	10
34	в его	13	10
35	в этой	6	9
36	и если	2	9
37	как раз	5	9
38	то же	11	9
39	в конце	7	8
40	вместе с	3	8
41	в своем	11	7
42	в нем	10	7
43	и только	2	7
44	раз в	2	7
45	не только	14	7
46	когда он	2	7
47	перед нами	4	6
48	это не	3	6
49	в самой	8	6
50	в ней	8	6
51	шекспира и	2	6
52	все эти	5	6
53	и вот	3	6
54	но он	3	6
55	точки зрения	4	6
56	же самое	2	6
57	во время	12	6
58	как на	4	6
59	у него	4	6
60	мы видим	5	6
61	в сущности	4	6
62	на самом	5	6
63	а не	4	6
64	что эта	2	6
65	нисколько не	3	5
66	и как	5	5
67	в целом	2	5
68	мы не	4	5
69	и на	5	5
70	вовсе не	8	5
71	как он	3	5
72	с ним	5	5
73	мы можем	2	5
74	с этим	4	5
75	связь с	3	5
76	это и	5	5
77	как и	10	5
78	мы уже	4	5
79	и его	13	5
80	все же	2	5
81	и это	4	5
82	и есть	2	4
83	это в	2	4
84	так например	2	4
85	друг с	2	4
86	жизни и	8	4
87	а в	4	4
88	этой жизни	3	4
89	того что	3	4
90	с тем	2	4
91	к этому	2	4
92	об этом	4	4
93	и о	4	4
94	в своей	3	4
95	на него	2	4
96	как мы	8	4
97	с точки	2	4
98	той же	4	4
99	можно было	4	4
100	жизнь и	2	4
101	по поводу	4	4
102	с другом	2	4
103	только в	4	4
104	слова и	2	4
105	это было	4	4
106	же как	4	3
107	в сторону	2	3
108	нам о	2	3
109	ни в	3	3
110	тому же	4	3
111	на этом	5	3
112	в пределах	2	3
113	например в	5	3
114	с ее	5	3
115	и за	2	3
116	но и	10	3
117	и до	2	3
118	конечно не	2	3
119	в уста	2	3
120	не было	3	3
121	в которых	3	3
122	и здесь	4	3
123	в то	11	3
124	во все	2	3
125	его в	5	3
126	нет ни	2	3
127	том как	2	3
128	в основе	4	3
129	всех этих	6	3
130	в одном	3	3
131	говорить о	2	3
132	но не	4	3
133	здесь в	4	3
134	до сих	3	3
135	что и	7	3
136	сих пор	3	3
137	так и	6	3
138	как в	3	3
139	и он	3	3
140	и для	3	3
141	от этого	2	3
142	на этот	3	3
143	в одной	3	2
144	и от	4	2
145	из этих	3	2
146	на все	2	2
147	прежде всего	10	2
148	из его	2	2
149	такой же	4	2
150	же время	9	2
151	при этом	2	2
152	и та	2	2
153	один из	2	2
154	но мы	2	2
155	убийства и	2	2
156	все они	4	2
157	в их	4	2
158	именно в	3	2
159	взглянуть на	2	2
160	и наконец	2	2
161	не имеет	3	2
162	его не	4	2
163	больше чем	2	2
164	и с	10	2
165	одно из	2	2
166	она дает	2	2
167	также и	7	2
168	не в	7	2
169	почти все	3	2
170	но в	14	2
171	с его	7	2
172	в них	6	2
173	это время	2	2
174	и к	5	2
175	видим что	2	2
176	ли он	2	2
177	по существу	3	2
178	можно сказать	2	2
179	во всех	13	2
180	даже в	2	2
181	он знает	2	2
182	то время	3	2
183	и она	2	2
184	хотя бы	2	2
185	почти всегда	3	2
186	связи с	6	2
187	в пьесе	2	2
188	ничего не	4	2
