N	2gram	Propp_Russ_2	KulturaY
1	и т	5	39
2	потому что	5	25
3	и в	29	23
4	т е	24	22
5	не только	10	20
6	в том	22	19
7	в этом	11	18
8	было бы	3	15
9	так как	13	15
10	может быть	13	15
11	т д	5	14
12	у нас	4	12
13	все эти	3	12
14	том что	22	11
15	того чтобы	6	11
16	но в	5	11
17	что в	22	10
18	а не	4	10
19	вопрос о	4	9
20	то что	5	9
21	для того	6	9
22	можно было	2	9
23	не может	5	9
24	с другой	2	8
25	прежде всего	2	8
26	не в	4	8
27	в качестве	3	8
28	уже не	4	8
29	и что	5	8
30	и пр	2	8
31	что это	3	7
32	не менее	2	7
33	все же	2	7
34	но и	8	7
35	и с	10	7
36	это не	5	6
37	в этой	3	6
38	но не	5	6
39	тем не	2	6
40	то же	4	6
41	этот вопрос	2	6
42	между тем	3	6
43	и на	6	6
44	об этом	2	5
45	по существу	4	5
46	еще не	6	5
47	один из	2	5
48	должен быть	2	5
49	вместе с	6	5
50	все это	10	5
51	таким образом	6	5
52	там где	2	5
53	как это	4	5
54	и то	2	5
55	мы имеем	6	5
56	в них	4	4
57	к этому	5	4
58	что на	2	4
59	для нас	6	4
60	должно быть	2	4
61	или в	7	4
62	как бы	18	4
63	так же	4	4
64	не было	2	4
65	и о	3	4
66	не имеет	3	4
67	вряд ли	2	4
68	в данном	6	4
69	могут быть	2	4
70	в то	2	4
71	чем в	2	3
72	на этом	3	3
73	для этого	5	3
74	главным образом	3	3
75	а также	4	3
76	же в	6	3
77	п в	12	3
78	это и	2	3
79	до конца	3	3
80	совершенно не	2	3
81	связи с	2	3
82	можно встретить	2	3
83	что и	2	3
84	не все	4	3
85	что она	3	3
86	как в	7	3
87	так в	2	3
88	в форме	2	3
89	с этим	2	3
90	то и	4	3
91	именно в	4	3
92	как мы	3	3
93	того что	3	3
94	из которых	2	3
95	и по	3	3
96	а в	9	3
97	тем что	3	3
98	в таких	3	3
99	есть в	2	3
100	в виду	2	3
101	же как	4	2
102	с тем	6	2
103	это в	2	2
104	никогда не	2	2
105	состоит в	15	2
106	с этой	2	2
107	и от	3	2
108	и все	4	2
109	связанные с	2	2
110	не всегда	3	2
111	как можно	2	2
112	этом случае	6	2
113	с одной	2	2
114	очевидно что	2	2
115	в день	7	2
116	а на	9	2
117	вся эта	2	2
118	после того	2	2
119	нам право	2	2
120	она не	3	2
121	при этом	6	2
122	в целях	2	2
123	к нему	4	2
124	мы видели	7	2
125	в своей	2	2
126	дело не	2	2
127	данном случае	7	2
128	а именно	3	2
129	в их	2	2
130	сюда же	2	2
131	но можно	2	2
132	в отличие	3	2
133	или же	5	2
134	того как	2	2
135	и для	2	2
136	этой цели	2	2
137	на самом	2	2
138	как и	11	2
139	образом в	2	2
140	в году	3	2
141	здесь мы	2	2
142	для этой	3	2
143	что для	3	2
144	в которых	4	2
145	быть только	2	2
146	также что	2	2
147	в своих	2	2
148	и еще	2	2
149	за этим	2	2
150	будто бы	5	2
151	отличие от	3	2
152	только как	2	2
