N	2gram	Berdyaev_M_1	Literetu
1	не только	29	24
2	но и	25	17
3	а не	25	16
4	в том	6	16
5	том что	3	14
6	может быть	30	13
7	и не	11	12
8	в этом	20	12
9	прежде всего	10	11
10	в своем	10	11
11	то что	5	10
12	не в	16	8
13	и в	28	8
14	только в	6	8
15	в его	9	7
16	как бы	2	7
17	уже не	4	7
18	в себе	7	7
19	в жизни	3	6
20	и я	5	6
21	как и	5	6
22	себя в	3	6
23	того что	7	6
24	точки зрения	4	6
25	xix века	4	6
26	то есть	3	6
27	с его	3	5
28	с этой	4	5
29	что он	10	5
30	как в	2	5
31	не может	28	5
32	уже в	4	5
33	одним из	2	5
34	в то	2	5
35	это не	5	4
36	о себе	3	4
37	в конце	7	4
38	но не	8	4
39	еще в	2	4
40	все же	2	4
41	в своей	15	4
42	никогда не	14	4
43	лишь в	6	4
44	духовной жизни	3	4
45	и его	9	4
46	ведет к	6	4
47	не как	4	4
48	в этой	6	4
49	мир в	3	4
50	с собой	3	4
51	в основе	2	3
52	не было	18	3
53	что в	10	3
54	и есть	14	3
55	самого себя	2	3
56	с их	2	3
57	века в	2	3
58	в самом	11	3
59	не мог	3	3
60	у него	17	3
61	один из	4	3
62	жизни и	2	3
63	всего в	2	3
64	в их	4	3
65	приводит к	2	3
66	по отношению	2	3
67	бы не	2	3
68	а в	4	3
69	потому что	16	3
70	одно из	3	3
71	он и	2	3
72	но в	7	3
73	по своей	2	3
74	также и	2	3
75	его в	3	3
76	в виду	2	3
77	на этом	3	2
78	во имя	10	2
79	а как	2	2
80	должна быть	6	2
81	для них	3	2
82	у достоевского	42	2
83	и нет	2	2
84	человека и	14	2
85	в мире	10	2
86	различие между	2	2
87	к тому	3	2
88	для него	11	2
89	было бы	10	2
90	за пределы	4	2
91	относится к	2	2
92	так называемый	2	2
93	должен быть	2	2
94	в нем	13	2
95	не есть	9	2
96	отношению к	2	2
97	не к	4	2
98	на том	3	2
99	не остается	2	2
100	человеческого духа	26	2
101	все эти	2	2
102	чтобы не	2	2
103	хотя бы	3	2
104	тем что	4	2
105	могут быть	2	2
106	как будто	2	2
107	о том	2	2
108	как он	2	2
109	нет ничего	7	2
110	в россии	2	2
111	русской литературы	5	2
