N	3gram	Vygotskiy__3	Myslijsy
1	сами по себе	3	7
2	во всяком случае	4	7
3	в том что	17	7
4	и того же	4	6
5	одного и того	4	6
6	в свою очередь	2	6
7	тем не менее	5	5
8	заключает в себе	2	4
9	в то время	4	4
10	то и другое	4	4
11	на то что	3	3
12	с одной стороны	5	3
13	то время как	4	3
14	смысле этого слова	4	3
15	то что в	2	2
16	только потому что	2	2
17	с самого начала	6	2
18	само по себе	2	2
19	и все остальные	2	2
20	то что мы	2	2
21	которых мы не	2	2
22	так и в	2	2
23	в этом смысле	2	2
24	не может быть	2	2
25	с другой стороны	3	2
26	для того чтобы	7	2
27	того что они	3	2
