N	2gram	Tiupa_Disk_2	Mirosoze
1	может быть	16	30
2	не только	10	29
3	и в	16	28
4	не может	9	28
5	но и	11	25
6	а не	14	25
7	он не	3	24
8	в этом	16	20
9	не было	3	18
10	не в	3	16
11	потому что	4	16
12	в ней	2	15
13	в своей	6	15
14	никогда не	2	14
15	в нем	7	13
16	человека в	4	13
17	и это	2	12
18	для него	5	11
19	и не	15	11
20	что в	5	10
21	в своем	5	10
22	в мире	11	10
23	прежде всего	7	10
24	и все	3	10
25	что он	2	10
26	в творчестве	3	10
27	в его	3	9
28	и его	3	9
29	но не	7	8
30	в котором	3	8
31	образ человека	2	7
32	но в	11	7
33	в себе	19	7
34	должна быть	2	6
35	в том	8	6
36	в этой	4	6
37	все это	2	6
38	ведет к	3	6
39	и на	5	6
40	вместе с	2	6
41	только в	3	6
42	это не	3	5
43	мира и	4	5
44	как и	16	5
45	то что	5	5
46	в этих	3	4
47	не знает	3	4
48	не к	2	4
49	отношение к	2	4
50	а в	2	4
51	точки зрения	4	4
52	в них	3	4
53	что и	2	4
54	уже не	3	4
55	заключает в	2	3
56	должно быть	2	3
57	его в	3	3
58	то есть	12	3
59	и с	2	3
60	с его	6	3
61	одно из	4	3
62	интерес к	2	3
63	том что	10	3
64	не знают	3	3
65	себя в	6	3
66	место в	2	2
67	момент в	2	2
68	живет в	2	2
69	с их	2	2
70	о чем	2	2
71	жизни и	3	2
72	могут быть	3	2
73	по отношению	4	2
74	все эти	3	2
75	также и	3	2
76	по своей	6	2
77	как бы	4	2
78	о том	4	2
79	в основе	4	2
80	жизни в	3	2
81	личности в	2	2
82	к этому	4	2
83	отношению к	4	2
84	в то	5	2
85	как будто	3	2
86	еще в	3	2
87	все же	6	2
88	с ней	2	2
89	как в	8	2
90	приводит к	3	2
91	человеческой жизни	2	2
92	в наше	2	2
93	входит в	2	2
94	в той	2	2
95	и как	3	2
96	и для	2	2
