N	2gram	Losev_Dial_1	Poddanst
1	не только	13	17
2	и в	18	14
3	и не	30	12
4	в отношении	5	10
5	в этом	12	10
6	то же	10	9
7	в том	9	9
8	в качестве	2	9
9	но в	6	9
10	хотя бы	6	8
11	же время	4	7
12	в то	6	7
13	только в	3	7
14	быть может	4	6
15	но и	7	6
16	в ней	3	6
17	было бы	12	6
18	с другой	6	5
19	не в	6	5
20	в которых	2	5
21	и пр	5	5
22	отношении к	3	5
23	и о	3	5
24	может быть	17	5
25	в котором	4	4
26	то что	13	4
27	что в	13	4
28	если бы	12	4
29	в своем	5	4
30	не может	12	4
31	по себе	25	4
32	а в	5	4
33	том что	9	4
34	мы должны	5	4
35	тех кто	2	4
36	как бы	11	4
37	и потому	3	4
38	в нем	16	3
39	и т	21	3
40	она есть	5	3
41	это не	9	3
42	с одной	2	3
43	т е	25	3
44	прежде всего	10	3
45	для того	2	3
46	с точки	12	3
47	и как	7	3
48	с ними	2	3
49	но не	4	3
50	могут быть	3	3
51	точки зрения	17	3
52	в себе	11	3
53	одной стороны	2	3
54	вслед за	2	3
55	потому что	14	3
56	хотя и	4	3
57	не менее	2	2
58	в мире	2	2
59	именно в	2	2
60	и есть	16	2
61	в частности	2	2
62	но к	2	2
63	отнюдь не	9	2
64	друг другу	3	2
65	тем более	2	2
66	со стороны	2	2
67	в них	3	2
68	есть нечто	10	2
69	все это	11	2
70	она ни	2	2
71	как раз	4	2
72	отношения к	3	2
73	с этим	2	2
74	может и	4	2
75	именно как	2	2
76	еще более	3	2
77	думать что	3	2
78	и вот	6	2
79	стороны и	3	2
80	реальность и	2	2
81	а не	14	2
82	того что	2	2
83	как факт	2	2
84	точек зрения	3	2
85	должно быть	3	2
86	говорить о	5	2
87	если в	3	2
88	есть не	3	2
89	которое в	2	2
90	в виде	2	2
91	по сравнению	2	2
92	не нужно	2	2
93	не было	6	2
94	из них	2	2
95	и мы	5	2
96	и это	2	2
97	в полной	2	2
98	никак не	6	2
99	да и	6	2
100	не о	4	2
101	в его	3	2
102	и с	5	2
103	помнить что	2	2
