N	2gram	Tiupa_Anal_3	FransuaR
1	и в	18	29
2	то есть	10	21
3	таким образом	4	20
4	и не	12	16
5	и все	2	13
6	в этой	6	13
7	как и	14	12
8	и т.п	5	12
9	но в	2	12
10	так и	14	11
11	и на	4	11
12	в этом	14	11
13	то же	3	10
14	в романе	2	10
15	в то	3	10
16	не только	22	10
17	в конце	5	9
18	но и	13	9
19	все эти	2	9
20	его в	3	9
21	же время	3	8
22	прежде всего	5	8
23	в его	7	8
24	и его	13	8
25	как бы	10	8
26	в них	2	7
27	еще и	3	7
28	в том	9	7
29	в большинстве	2	6
30	в сущности	5	6
31	своего рода	8	6
32	все они	2	5
33	это не	2	5
34	это и	2	5
35	того же	5	5
36	далеко не	4	5
37	в нем	2	5
38	и по	2	5
39	сказать что	2	5
40	он и	3	5
41	перед нами	4	4
42	но они	2	4
43	с его	8	4
44	что он	4	4
45	по своему	2	4
46	еще не	6	4
47	один из	2	4
48	то что	2	4
49	все это	3	4
50	с другой	7	4
51	жизнь и	3	4
52	в результате	5	4
53	тем что	2	4
54	точки зрения	3	4
55	мира и	2	4
56	тому как	2	3
57	в частности	12	3
58	в качестве	12	3
59	в своем	4	3
60	с ее	3	3
61	и здесь	2	3
62	в ее	3	3
63	все же	4	3
64	но как	3	3
65	том что	12	3
66	и как	4	3
67	в дальнейшем	2	3
68	то в	2	3
69	мы можем	2	3
70	и сам	4	3
71	здесь и	3	3
72	той же	5	3
73	по преимуществу	2	3
74	он не	6	3
75	здесь не	3	3
76	другой стороны	5	3
77	как к	2	3
78	при этом	11	3
79	на языке	3	3
80	в году	3	3
81	и вот	2	3
82	и даже	8	3
83	роль в	3	3
84	не случайно	8	3
85	в ней	2	3
86	подобно тому	3	3
87	в себе	2	3
88	по своей	2	3
89	на эту	2	3
90	там где	2	3
91	уже в	3	2
92	к этому	3	2
93	поэтому в	2	2
94	в жизни	2	2
95	к тому	6	2
96	и к	4	2
97	о его	2	2
98	да и	2	2
99	что они	3	2
100	именно в	3	2
101	но не	7	2
102	о своей	2	2
103	в себя	2	2
104	одной стороны	2	2
105	не может	2	2
106	о чем	4	2
107	о своем	2	2
108	на его	2	2
109	может быть	9	2
110	хотя и	2	2
111	никогда не	5	2
112	этом он	2	2
113	уже не	5	2
114	а также	2	2
115	если в	3	2
116	со стороны	9	2
117	и для	2	2
118	себя в	4	2
119	как в	3	2
120	в их	6	2
121	как раз	7	2
122	в особенности	3	2
123	с одной	2	2
124	во второй	7	2
125	в той	2	2
126	с точки	2	2
127	не столько	3	2
128	в слове	5	2
129	не мог	2	2
130	только в	2	2
131	о том	6	2
132	дело в	2	2
133	так сказать	2	2
134	в новом	2	2
