N	2gram	Losev_Dial_3	PoTuStor
1	может быть	13	17
2	и в	24	16
3	и пр	6	12
4	прежде всего	8	9
5	таким образом	13	9
6	в этом	8	9
7	и только	6	9
8	совершенно не	2	8
9	и его	5	8
10	и с	6	8
11	точки зрения	25	8
12	не может	19	8
13	с его	2	7
14	сказать что	4	7
15	не только	23	7
16	и это	4	6
17	и к	5	6
18	с точки	14	6
19	самом деле	6	6
20	для него	4	6
21	при этом	2	6
22	конечно не	4	6
23	я и	2	6
24	к отцу	2	6
25	все эти	3	5
26	что такое	21	5
27	в чем	4	5
28	ни в	9	5
29	сознание и	3	5
30	еще не	2	5
31	как бы	3	5
32	в нем	3	4
33	отнюдь не	10	4
34	но и	9	4
35	так и	5	4
36	все это	6	4
37	хотя бы	4	4
38	и все	6	4
39	так как	6	4
40	и не	27	4
41	как мы	2	4
42	и ее	3	4
43	и даже	13	4
44	и на	3	4
45	все что	3	4
46	только в	5	4
47	но в	2	4
48	в его	2	4
49	мы знаем	3	3
50	что в	7	3
51	жизни и	5	3
52	и есть	16	3
53	могут быть	2	3
54	даже не	6	3
55	и вот	2	3
56	и она	2	3
57	учение о	8	3
58	и притом	5	3
59	крайней мере	5	3
60	в том	5	3
61	а в	2	3
62	том что	8	3
63	и как	8	3
64	то что	14	3
65	их в	2	3
66	в основе	3	3
67	на этом	2	3
68	по крайней	5	3
69	только как	5	3
70	только на	7	3
71	мира и	3	3
72	как это	5	3
73	во всяком	2	3
74	и потому	2	3
75	всяком случае	2	3
76	не существует	10	2
77	не менее	11	2
78	ее в	2	2
79	нет и	4	2
80	не могут	4	2
81	что и	6	2
82	не есть	54	2
83	же как	2	2
84	не будет	3	2
85	сознания и	4	2
86	другими словами	7	2
87	внешний мир	3	2
88	как не	2	2
89	в частности	2	2
90	никогда не	7	2
91	что не	5	2
92	для этого	2	2
93	в них	5	2
94	вообще не	2	2
95	оно не	6	2
96	с этой	5	2
97	из этих	2	2
98	с этим	3	2
99	то же	6	2
100	быть может	3	2
101	что оно	7	2
102	не знает	3	2
103	только и	2	2
104	на них	2	2
105	нет никаких	2	2
106	что он	13	2
107	мы не	5	2
108	что мы	8	2
109	на первый	4	2
110	у него	2	2
111	и по	2	2
112	и для	2	2
113	для нас	2	2
114	как и	7	2
115	понятия и	2	2
116	они не	2	2
117	так же	4	2
118	но это	5	2
119	есть в	3	2
120	мы уже	3	2
121	не на	6	2
122	он не	5	2
123	и этим	3	2
124	и говорить	2	2
125	как с	2	2
126	есть и	12	2
127	в каком	3	2
128	не можем	2	2
129	что можно	2	2
130	необходимость и	2	2
131	говорить о	4	2
132	и вообще	2	2
133	было бы	5	2
134	со всеми	2	2
135	что это	12	2
136	всего а	2	2
137	о том	6	2
138	в самом	7	2
139	но как	2	2
140	за пределы	3	2
141	и о	3	2
142	себя и	2	2
