N	2gram	Medvedev_S_1	Problema
1	не только	3	24
2	только в	2	23
3	в том	5	20
4	и в	3	20
5	то что	2	15
6	было бы	2	14
7	но и	2	14
8	не в	3	13
9	том что	2	12
10	как будто	2	11
11	может быть	2	9
12	все это	7	9
13	в этом	5	9
14	таким образом	2	8
15	в результате	2	8
16	еще не	2	7
17	то же	2	7
18	для нас	3	6
19	в смысле	2	5
20	или даже	2	4
21	это и	2	4
22	как бы	2	4
23	тем более	2	4
24	и только	3	4
25	в его	3	3
26	что в	2	3
27	дело не	2	3
28	в частности	2	2
29	в конце	2	2
30	как же	3	2
31	за пределы	2	2
32	и что	2	2
33	далеко не	2	2
