N	2gram	Medvedev_V_1	Hudozhes
1	и в	26	28
2	том что	8	19
3	в ее	4	18
4	и не	19	18
5	в том	15	15
6	а не	7	14
7	не в	6	13
8	в этом	26	13
9	о том	10	12
10	перед нами	4	11
11	как и	7	11
12	в его	14	11
13	не только	25	11
14	но и	10	9
15	в себе	6	9
16	о чем	2	8
17	в жизни	2	8
18	что он	4	8
19	может быть	22	8
20	так и	5	8
21	между тем	5	8
22	к тому	4	7
23	об этом	9	7
24	в частности	11	7
25	отношению к	7	7
26	что она	2	7
27	по отношению	7	7
28	как это	12	7
29	это не	7	6
30	можно сказать	4	6
31	в котором	3	6
32	то что	6	6
33	жизни и	3	6
34	в своей	4	6
35	если бы	3	6
36	то же	10	6
37	не было	7	6
38	сводится к	3	6
39	а в	3	6
40	в то	6	6
41	с его	3	5
42	не менее	2	5
43	у него	6	5
44	в своем	8	5
45	как бы	5	5
46	в этой	4	5
47	что в	10	5
48	она не	3	5
49	в самом	4	5
50	никогда не	4	5
51	и его	6	5
52	для него	8	5
53	бы и	6	4
54	тому что	6	4
55	говорит о	7	4
56	но не	2	4
57	что они	3	4
58	в качестве	11	4
59	же время	5	4
60	в художественном	10	4
61	для того	3	4
62	о своем	2	4
63	вслед за	2	4
64	он не	2	4
65	в конечном	7	4
66	что и	3	4
67	и т	23	4
68	пародия на	2	4
69	как раз	3	4
70	не может	17	4
71	человека в	2	4
72	того чтобы	3	4
73	подобно тому	2	4
74	только в	7	4
75	тому как	2	4
76	бы не	2	3
77	конечном счете	5	3
78	в них	4	3
79	с другой	11	3
80	в одном	4	3
81	человека и	3	3
82	что все	3	3
83	с нею	2	3
84	прежде всего	13	3
85	в нем	6	3
86	и ее	4	3
87	как о	2	3
88	еще не	2	3
89	одной стороны	2	3
90	было бы	7	3
91	по поводу	2	3
92	со своим	2	3
93	во сне	21	3
94	в ней	2	3
95	этом и	2	3
96	все они	2	3
97	все это	10	3
98	с одной	2	3
99	чтобы не	2	3
100	следующим образом	3	3
101	и он	2	3
102	по его	2	3
103	так же	3	3
104	или в	3	3
105	можно было	2	3
106	с другими	2	3
107	с ними	4	3
108	пока еще	2	3
109	что у	2	3
110	же самое	2	3
111	будто бы	2	3
112	как он	2	3
113	всего лишь	3	3
114	все его	2	3
115	он сам	2	2
116	только не	2	2
117	т е	18	2
118	а о	2	2
119	как видим	8	2
120	отнюдь не	3	2
121	именно в	2	2
122	а вот	2	2
123	не столько	2	2
124	и от	3	2
125	произведения не	2	2
126	и просто	2	2
127	из этих	7	2
128	начнем с	2	2
129	вовсе не	3	2
130	а как	2	2
131	или иной	2	2
132	о его	2	2
133	мы знаем	3	2
134	а всего	3	2
135	же как	2	2
136	одна из	4	2
137	как у	2	2
138	говорит в	3	2
139	мысль о	2	2
140	что не	3	2
141	и к	3	2
142	того или	2	2
143	не по	2	2
144	же и	2	2
145	если в	2	2
146	не является	5	2
147	один из	5	2
148	все же	5	2
149	из них	9	2
150	вместе с	7	2
151	приводит к	5	2
152	как на	3	2
153	т п	9	2
154	т д	14	2
155	еще и	2	2
156	лишь в	2	2
157	и у	2	2
158	между ними	3	2
159	ни одного	2	2
160	хотя бы	19	2
161	и для	2	2
162	роль в	4	2
163	сказать что	5	2
164	точки зрения	3	2
165	говорить о	2	2
166	в другом	2	2
167	что даже	2	2
168	его в	3	2
169	что говорит	3	2
170	но в	2	2
171	а для	2	2
172	том как	3	2
