N	2gram	Losev_Dial_1	RusskieA
1	и в	18	36
2	не только	13	22
3	что в	13	19
4	том что	9	19
5	в том	9	17
6	т е	25	17
7	но и	7	16
8	так как	11	15
9	в этом	12	12
10	это не	9	10
11	как мы	4	10
12	как и	2	10
13	и т	21	10
14	потому что	14	10
15	об этом	4	9
16	т д	19	9
17	а в	5	9
18	мы увидим	2	8
19	из них	2	8
20	может быть	17	8
21	один из	3	8
22	о том	4	8
23	как это	4	8
24	что они	3	7
25	что и	3	7
26	так и	9	7
27	и не	30	6
28	в них	3	6
29	уже не	2	6
30	все это	11	6
31	не имеет	15	6
32	в виде	2	6
33	то что	13	6
34	все же	5	5
35	как бы	11	5
36	и у	2	5
37	с ними	2	5
38	в которых	2	5
39	как в	2	5
40	тому что	3	4
41	из этих	2	4
42	к этому	2	4
43	к тому	4	4
44	еще не	2	4
45	вплоть до	3	4
46	его с	3	4
47	и их	2	4
48	в их	3	4
49	не может	12	4
50	а с	2	4
51	мы имеем	2	4
52	и что	12	4
53	того что	2	4
54	но это	8	4
55	только в	3	4
56	не менее	2	3
57	о чем	2	3
58	что это	11	3
59	связанные с	2	3
60	в этих	5	3
61	в качестве	2	3
62	в своем	5	3
63	но все	3	3
64	чаще всего	2	3
65	но они	2	3
66	думать что	3	3
67	на этом	2	3
68	несмотря на	10	3
69	только на	3	3
70	к ним	2	3
71	если в	3	3
72	не с	5	3
73	или на	2	3
74	и из	3	3
75	в разных	3	3
76	то же	10	3
77	с точки	12	3
78	так же	4	3
79	ничего не	17	3
80	точки зрения	17	3
81	как например	2	3
82	этот обряд	3	3
83	не было	6	2
84	всех этих	3	2
85	они были	2	2
86	и более	4	2
87	в частности	2	2
88	какие же	2	2
89	могут быть	3	2
90	в отдельности	2	2
91	та же	3	2
92	с этим	2	2
93	и потому	3	2
94	в каждом	2	2
95	не просто	7	2
96	что именно	2	2
97	в нем	16	2
98	нас не	2	2
99	так что	15	2
100	и как	7	2
101	в дальнейшем	5	2
102	мы видим	4	2
103	такой же	2	2
104	но не	4	2
105	быть и	4	2
106	но что	3	2
107	она не	6	2
108	но есть	2	2
109	отнюдь не	9	2
110	в ней	3	2
111	на что	2	2
112	в его	3	2
113	не значит	3	2
114	друг к	2	2
115	как можно	2	2
116	и с	5	2
117	как не	2	2
118	к другу	2	2
119	значит что	14	2
120	с ней	2	2
121	но она	3	2
122	что она	7	2
123	для этого	2	2
124	в особенности	5	2
125	все эти	2	2
126	на самом	3	2
127	можно говорить	2	2
128	а не	14	2
129	и пр	5	2
130	и для	2	2
131	с ним	6	2
132	мы можем	4	2
133	хотя и	4	2
134	к ней	4	2
135	но в	6	2
136	ничего общего	4	2
137	мы должны	5	2
138	как он	4	2
