N	2gram	Tiupa_Narr_1	Tragedij
1	и в	19	18
2	в этом	17	9
3	не только	32	8
4	он сам	2	7
5	и не	20	7
6	и на	3	7
7	и с	4	7
8	может быть	25	7
9	как бы	4	7
10	что он	6	6
11	и его	5	6
12	же время	4	6
13	у него	4	6
14	но в	6	6
15	все же	7	5
16	что это	3	5
17	так и	9	5
18	это не	2	5
19	не может	10	5
20	то же	4	5
21	как и	7	5
22	в то	3	5
23	несмотря на	2	5
24	но и	23	4
25	то что	11	4
26	что в	3	4
27	прежде всего	4	4
28	и все	2	4
29	в нем	4	4
30	и даже	3	4
31	так же	2	4
32	том что	14	4
33	в этой	5	4
34	в себе	8	4
35	еще не	7	4
36	уже в	3	3
37	один из	3	3
38	с ее	3	3
39	о чем	2	3
40	отнюдь не	5	3
41	в своем	2	3
42	как в	7	3
43	все эти	2	3
44	тем самым	6	3
45	и он	3	3
46	и как	5	3
47	к нему	5	3
48	в его	9	3
49	для него	2	3
50	при этом	9	3
51	своего рода	12	3
52	как будто	3	3
53	мог бы	3	3
54	в мире	9	3
55	как это	6	3
56	то есть	19	3
57	не имеет	2	2
58	перед нами	4	2
59	и до	2	2
60	как говорит	3	2
61	в частности	14	2
62	в отличие	5	2
63	данном случае	4	2
64	в самую	2	2
65	который в	2	2
66	уже не	5	2
67	с его	6	2
68	отношение к	2	2
69	к тому	7	2
70	столь же	3	2
71	времени в	2	2
72	ни в	3	2
73	в ее	3	2
74	в том	18	2
75	говорит о	2	2
76	отличие от	5	2
77	но все	4	2
78	в таком	2	2
79	не в	14	2
80	точно так	2	2
81	в данном	5	2
82	в рассказе	4	2
83	не случайно	2	2
84	одна из	3	2
85	в первом	3	2
86	тем что	3	2
87	только о	2	2
88	и ее	2	2
89	было в	2	2
90	жизнью и	2	2
91	о том	6	2
92	его в	2	2
93	не мог	4	2
94	ничего не	2	2
95	он не	3	2
96	никогда не	3	2
