N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	41
2	то есть	12	20
3	таким образом	5	19
4	в этом	6	15
5	и все	6	14
6	как и	12	14
7	в этой	5	13
8	то же	13	13
9	в его	13	12
10	прежде всего	4	11
11	в том	7	11
12	в себе	2	11
13	так и	2	10
14	все это	10	10
15	в то	15	10
16	в качестве	2	9
17	и его	6	9
18	не в	2	9
19	же время	12	9
20	но и	3	9
21	в своем	4	9
22	что в	12	9
23	и от	4	8
24	то что	8	8
25	но в	7	8
26	вовсе не	5	7
27	в романе	10	7
28	как бы	17	7
29	в нем	3	7
30	и не	7	7
31	у него	7	6
32	это не	4	6
33	для него	6	6
34	только в	5	6
35	о том	6	6
36	уже в	3	5
37	к этому	2	5
38	не только	7	5
39	в ней	2	5
40	вместе с	2	5
41	что и	2	5
42	как в	8	5
43	в году	7	5
44	и у	2	5
45	а в	6	5
46	так же	3	5
47	потому что	5	5
48	на земле	3	4
49	место в	3	4
50	хотя и	3	4
51	но он	2	4
52	том что	11	4
53	одна из	2	4
54	может быть	5	4
55	он не	8	4
56	в виду	2	4
57	к жизни	2	4
58	влияние на	2	4
59	и наконец	2	4
60	и на	7	4
61	та же	4	4
62	и с	3	4
63	мира в	2	4
64	я не	3	3
65	и другие	3	3
66	того же	2	3
67	это в	3	3
68	в мире	4	3
69	но это	5	3
70	такой же	2	3
71	в своей	4	3
72	в свою	7	3
73	при этом	7	3
74	из них	2	3
75	что он	6	3
76	с ее	3	3
77	жизни и	3	3
78	в их	3	3
79	не может	4	3
80	для этой	2	3
81	тем самым	7	3
82	за то	2	3
83	и по	3	3
84	той же	3	3
85	не знает	2	3
86	так сказать	2	3
87	так как	3	3
88	перед нами	2	2
89	что все	3	2
90	в человеке	4	2
91	с его	11	2
92	именно в	2	2
93	никогда не	3	2
94	в этих	2	2
95	в лице	2	2
96	в одной	2	2
97	человек может	2	2
98	на самом	3	2
99	человека в	6	2
100	времени он	3	2
101	есть не	2	2
102	о котором	2	2
103	одновременно и	2	2
104	к тому	2	2
105	и как	4	2
106	из всех	4	2
107	в себя	2	2
108	до конца	2	2
109	тот же	2	2
110	того что	3	2
111	со всеми	3	2
112	своего рода	4	2
113	одного из	2	2
114	свидетельствует о	2	2
115	в новых	2	2
116	на том	2	2
117	одной из	4	2
118	дело не	3	2
119	здесь нет	2	2
120	в образах	2	2
121	во второй	2	2
122	в первой	2	2
123	время в	3	2
124	к человеку	3	2
125	во времени	3	2
126	во всей	2	2
127	прямо в	2	2
128	еще более	2	2
129	и других	3	2
130	его как	2	2
131	только на	2	2
132	не мог	2	2
133	а не	5	2
134	с самого	3	2
135	говорит что	2	2
136	уже не	3	2
137	но без	2	2
138	представлений о	2	2
139	или в	2	2
140	в данном	2	2
141	в литературе	2	2
142	ту же	3	2
143	далеко не	3	2
144	и высшей	2	2
145	дело в	3	2
146	связан с	3	2
147	пространства и	2	2
148	в чем	2	2
149	в которой	3	2
150	с ним	3	2
151	нет ни	2	2
