N	2gram	Kanaev_Sov_1	StatiiOP
1	и в	7	25
2	в этом	7	24
3	в том	4	20
4	что в	2	19
5	может быть	12	19
6	что это	2	16
7	в этой	3	14
8	и пр	2	13
9	в его	2	12
10	не только	4	12
11	прежде всего	5	10
12	таким образом	11	10
13	и не	6	10
14	у него	2	9
15	все это	3	8
16	это не	4	7
17	было бы	3	7
18	с этим	2	7
19	не может	17	7
20	что такое	2	7
21	точки зрения	12	7
22	из этих	2	6
23	в конце	3	6
24	не в	3	6
25	как бы	4	6
26	а в	4	6
27	в области	3	6
28	то же	3	5
29	такого рода	2	5
30	а не	3	5
31	но в	3	5
32	всяком случае	2	4
33	в каждом	8	4
34	у нас	3	4
35	как и	6	4
36	мы видим	2	4
37	и к	3	4
38	на его	2	4
39	в целом	4	4
40	отличается от	3	4
41	из которых	2	4
42	с точки	5	4
43	можно назвать	2	4
44	во всяком	2	4
45	все же	3	4
46	в которой	2	4
47	ничего не	6	4
48	что все	2	3
49	уже в	3	3
50	каждая из	2	3
51	и что	2	3
52	на этом	2	3
53	и наконец	5	3
54	все эти	5	3
55	в некоторых	2	3
56	по мнению	2	3
57	уже не	2	3
58	в системе	3	3
59	в виде	2	3
60	говорить о	2	3
61	так как	4	3
62	не менее	2	2
63	для его	2	2
64	он может	3	2
65	точку зрения	4	2
66	и во	2	2
67	этих двух	2	2
68	самого начала	3	2
69	или иной	2	2
70	как мы	2	2
71	на котором	2	2
72	но все	2	2
73	такой же	2	2
74	времени и	2	2
75	в свою	2	2
76	еще не	3	2
77	это за	2	2
78	в самом	2	2
79	одна из	3	2
80	нет и	4	2
81	тем не	2	2
82	в развитии	4	2
83	каждый раз	6	2
84	вместе с	4	2
85	с одной	2	2
86	самом деле	2	2
87	с самого	3	2
88	и по	2	2
89	той же	2	2
90	мы не	9	2
91	в результате	6	2
92	то и	2	2
93	могут быть	2	2
94	так сказать	2	2
