N	2gram	Tiupa_Narr_1	Myshleni
1	точки зрения	5	26
2	в том	8	24
3	и в	11	23
4	том что	7	21
5	в целом	3	20
6	того чтобы	4	17
7	то что	9	17
8	в этом	12	17
9	не только	31	16
10	того что	4	15
11	для того	3	15
12	что в	3	14
13	может быть	15	14
14	но и	27	14
15	как и	13	14
16	в его	6	14
17	не может	8	12
18	как бы	6	11
19	сказать что	2	11
20	представляет собой	8	11
21	с другой	2	10
22	прежде всего	4	10
23	в качестве	14	9
24	не является	3	9
25	другой стороны	2	9
26	и не	23	9
27	между тем	3	9
28	и с	3	9
29	вместе с	2	9
30	в ходе	3	8
31	и на	5	8
32	то же	8	8
33	в этой	6	7
34	в самом	6	7
35	по отношению	3	7
36	в то	4	7
37	что он	3	7
38	отношению к	3	7
39	мы не	3	7
40	и ее	3	7
41	столь же	5	6
42	и тем	4	6
43	именно в	3	6
44	лишь в	3	6
45	потому что	5	6
46	о том	4	6
47	в сущности	2	6
48	и его	10	6
49	мы можем	2	6
50	в себе	6	6
51	только в	12	6
52	перед нами	5	5
53	можно сказать	5	5
54	и как	3	5
55	на то	2	5
56	по себе	4	5
57	что мы	2	5
58	и все	3	5
59	если бы	7	5
60	но в	7	5
61	что может	2	5
62	между собой	2	5
63	он не	3	5
64	так и	5	5
65	как мы	2	5
66	тем самым	5	5
67	и т.д	6	5
68	но не	4	4
69	в свою	2	4
70	только что	2	4
71	не в	6	4
72	при этом	19	4
73	по мере	2	4
74	этом отношении	3	4
75	в результате	2	4
76	их в	3	4
77	с его	4	4
78	в одном	4	4
79	в чем	2	4
80	к тому	6	4
81	в своей	5	4
82	сих пор	2	4
83	как в	4	4
84	как раз	6	4
85	хотя бы	2	4
86	до сих	2	4
87	в своем	3	3
88	и от	2	3
89	из этих	4	3
90	одного из	6	3
91	свою очередь	2	3
92	в сфере	2	3
93	который в	2	3
94	же самое	2	3
95	всяком случае	2	3
96	не могло	2	3
97	этих двух	2	3
98	об этом	6	3
99	как известно	3	3
100	она не	2	3
101	на две	2	3
102	все же	4	3
103	если не	2	3
104	самом деле	3	3
105	а не	13	3
106	и то	3	3
107	во всяком	2	3
108	связи с	2	3
109	в области	2	3
110	ничего не	2	3
111	в частности	14	2
112	известном смысле	2	2
113	никогда не	4	2
114	в нашем	3	2
115	что у	4	2
116	в конце	2	2
117	как если	2	2
118	в зависимости	2	2
119	же время	4	2
120	для него	4	2
121	о чем	4	2
122	хотя и	4	2
123	не имеет	2	2
124	один из	6	2
125	жизни и	6	2
126	значения и	2	2
127	данном случае	8	2
128	начиная с	3	2
129	сознания в	2	2
130	и вот	2	2
131	в слове	3	2
132	и даже	2	2
133	а в	13	2
134	к его	2	2
135	в первом	4	2
136	в этих	2	2
137	как это	3	2
138	в известном	2	2
139	речь идет	3	2
140	которая в	2	2
141	того кто	2	2
142	идет о	3	2
143	зависимости от	2	2
144	чем он	2	2
145	одно и	2	2
146	иначе говоря	8	2
147	на ее	2	2
148	в равной	2	2
149	в современной	3	2
150	ключ к	2	2
151	также не	2	2
152	уже не	8	2
153	в речи	4	2
154	между ними	2	2
155	в данном	11	2
156	между двумя	5	2
157	представляют собой	3	2
158	дело в	2	2
159	едва ли	3	2
