N	2gram	Tiupa_Teor_1	Dialekti
1	и не	13	30
2	может быть	17	20
3	и в	18	19
4	не только	16	19
5	а не	9	16
6	в себе	9	15
7	то что	3	14
8	что она	2	14
9	и даже	2	14
10	в том	16	14
11	как бы	5	14
12	потому что	3	14
13	вовсе не	3	13
14	но и	9	12
15	то же	7	12
16	точки зрения	9	12
17	ни в	2	10
18	как и	4	10
19	и как	2	10
20	в нем	4	10
21	так и	10	10
22	том что	9	10
23	это не	2	10
24	сказать что	3	10
25	времени и	2	9
26	никогда не	4	9
27	– не	4	9
28	не может	4	9
29	– в	15	8
30	личности в	3	8
31	прежде всего	2	8
32	с точки	3	8
33	не в	7	8
34	в этом	8	8
35	в своей	6	8
36	в душе	8	7
37	как это	8	7
38	и к	3	7
39	что в	9	7
40	и притом	2	7
41	и то	2	7
42	как будто	2	7
43	в поэзии	2	7
44	я не	2	6
45	отнюдь не	3	6
46	в то	6	6
47	но не	9	6
48	того что	4	6
49	– это	18	6
50	личности и	4	6
51	с другой	7	5
52	но –	2	5
53	же время	5	5
54	по своему	2	5
55	можно сказать	3	5
56	в самом	4	5
57	и потому	2	5
58	что и	2	5
59	и это	2	5
60	а именно	2	5
61	как раз	2	5
62	в одно	2	5
63	и что	3	5
64	и его	8	5
65	говорить о	3	5
66	только в	6	5
67	в виду	5	5
68	во мне	2	4
69	в своем	4	4
70	в одном	2	4
71	не могут	2	4
72	в ее	5	4
73	субъекта и	2	4
74	при этом	12	4
75	еще не	4	4
76	за пределы	2	4
77	и –	3	4
78	он не	3	4
79	быть и	2	4
80	все это	2	4
81	во времени	3	4
82	другой стороны	5	4
83	таким образом	3	4
84	и вот	3	4
85	заключается в	2	4
86	и по	2	4
87	а в	13	4
88	могут быть	4	4
89	но он	3	4
90	в другом	3	4
91	по своей	3	4
92	не менее	4	3
93	в этих	3	3
94	была бы	3	3
95	а только	3	3
96	об этом	2	3
97	уже не	4	3
98	– и	2	3
99	в этой	3	3
100	даже в	3	3
101	мы имеем	7	3
102	в той	2	3
103	в данном	8	3
104	его в	2	3
105	это было	2	3
106	в противоположность	2	2
107	в узком	3	2
108	только не	2	2
109	в частности	16	2
110	в какой	2	2
111	перед нами	2	2
112	в конце	2	2
113	именно в	3	2
114	если мы	2	2
115	к тому	2	2
116	тем не	3	2
117	не будет	2	2
118	или менее	2	2
119	или иным	3	2
120	мы в	2	2
121	своей природе	2	2
122	в искусстве	6	2
123	если в	2	2
124	так или	4	2
125	себя в	6	2
126	в мире	19	2
127	дело не	2	2
128	ее в	2	2
129	данном случае	5	2
130	в их	2	2
131	тому что	2	2
132	так же	2	2
133	не на	2	2
134	с ее	3	2
135	– как	2	2
136	с одной	2	2
137	как в	5	2
138	жизни –	2	2
139	тех или	3	2
140	более или	2	2
141	времени в	2	2
142	– все	3	2
143	или в	3	2
144	или иначе	5	2
145	их в	3	2
146	в акте	2	2
147	между тем	5	2
148	того или	3	2
149	все эти	2	2
150	есть в	2	2
151	в которой	2	2
152	в области	4	2
153	но в	9	2
154	я и	2	2
155	мире и	2	2
156	в жизни	2	2
157	вместе с	2	2
