N	3gram	Losev_Prob_1	Psycholo
1	в самом деле	2	18
2	на то что	8	12
3	в том что	5	11
4	и в самом	2	10
5	с точки зрения	3	9
6	то же самое	9	8
7	для того чтобы	8	8
8	о которых мы	2	5
9	с другой стороны	3	5
10	до сих пор	3	5
11	и т д	10	4
12	указывает на то	3	3
13	и в этом	2	3
14	о том что	5	3
15	то и другое	2	3
16	и то что	2	3
17	в данном случае	8	2
18	то что он	3	2
19	и как бы	2	2
20	мы увидим ниже	2	2
21	как мы увидим	2	2
22	только то что	4	2
23	о том как	2	2
24	то что в	3	2
25	во всяком случае	3	2
26	на самом деле	4	2
