N	2gram	Bakhtin_Pr_4	SlovoVZh
1	не может	19	16
2	точки зрения	11	14
3	может быть	23	14
4	и его	6	13
5	как бы	19	13
6	таким образом	4	12
7	и в	46	12
8	отношению к	5	11
9	по отношению	5	11
10	и не	27	10
11	если бы	3	9
12	так как	5	9
13	прежде всего	9	8
14	для нас	2	7
15	сказать что	2	7
16	в нем	17	6
17	все время	2	6
18	в процессе	4	6
19	при этом	5	6
20	с помощью	3	6
21	в том	9	6
22	только в	6	6
23	слова и	7	6
24	в жизни	5	5
25	то что	4	5
26	должна быть	2	5
27	никогда не	6	5
28	а не	11	5
29	можно сказать	4	5
30	то же	6	5
31	хотя бы	2	5
32	как и	12	5
33	том что	4	5
34	как в	4	5
35	что мы	2	5
36	героя и	4	5
37	и следовательно	2	5
38	но в	6	5
39	в виду	4	5
40	и к	9	4
41	все же	4	4
42	отношение к	3	4
43	жизни и	5	4
44	так и	4	4
45	с другой	3	4
46	уже не	4	4
47	как если	2	4
48	не в	10	4
49	в этом	16	4
50	и на	11	4
51	дело в	3	4
52	в самом	9	4
53	к нему	5	4
54	за пределы	5	4
55	и является	2	4
56	не только	14	4
57	в котором	5	3
58	отношении к	2	3
59	не к	3	3
60	не менее	2	3
61	когда он	2	3
62	в художественном	2	3
63	в своей	3	3
64	сих пор	8	3
65	все это	6	3
66	на границе	4	3
67	и по	2	3
68	все эти	4	3
69	по себе	7	3
70	слово в	6	3
71	но и	12	3
72	и пр	2	3
73	и наконец	4	3
74	точек зрения	4	3
75	ни в	6	3
76	да и	4	3
77	так же	3	3
78	самом деле	4	3
79	мы не	4	3
80	ведь и	5	3
81	и с	7	3
82	о том	5	3
83	в себе	7	3
84	для него	2	3
85	до сих	8	3
86	в пределах	10	3
87	еще не	7	3
88	в поэзии	2	3
89	только на	3	3
90	и для	3	3
91	конечно не	8	3
92	здесь не	4	3
93	с ним	2	3
94	но для	3	3
95	между тем	2	3
96	автора и	2	2
97	уже в	4	2
98	с его	5	2
99	что и	3	2
100	но все	2	2
101	что в	4	2
102	на все	2	2
103	вместе с	2	2
104	себя и	3	2
105	и так	2	2
106	в этих	4	2
107	на него	3	2
108	в своем	3	2
109	но конечно	2	2
110	в отношении	3	2
111	другой стороны	3	2
112	это не	5	2
113	влияние на	2	2
114	мы имеем	3	2
115	и все	9	2
116	бы не	2	2
117	и другие	3	2
118	этих двух	4	2
119	те же	2	2
120	в себя	4	2
121	его к	2	2
122	и что	3	2
123	в атмосфере	2	2
124	слова но	4	2
125	словом и	3	2
126	с точки	9	2
127	и здесь	4	2
128	его как	2	2
129	высказывания и	2	2
130	стороны и	2	2
131	но это	6	2
132	более того	3	2
133	такой же	3	2
134	в данном	2	2
135	в корне	2	2
136	тем как	2	2
137	мы можем	4	2
138	но не	4	2
139	могут быть	2	2
140	имеем в	3	2
141	есть уже	2	2
142	в формах	3	2
143	со словом	2	2
144	кроме того	4	2
145	до конца	4	2
146	выходят за	2	2
147	она не	3	2
148	в то	5	2
149	и совершенно	2	2
150	может стать	2	2
151	но этот	3	2
152	если же	5	2
153	к слову	2	2
154	там где	2	2
155	к ним	4	2
156	ничего не	2	2
157	он не	4	2
158	в условиях	3	2
159	в его	9	2
160	между ними	10	2
