N	2gram	Berdyaev_M_1	Myshleni
1	точки зрения	4	26
2	в том	6	24
3	и в	28	23
4	том что	3	21
5	того чтобы	2	17
6	то что	5	17
7	в этом	20	17
8	не только	29	16
9	того что	7	15
10	для того	2	15
11	что в	10	14
12	может быть	30	14
13	но и	25	14
14	как и	5	14
15	в его	9	14
16	не может	28	12
17	как бы	2	11
18	сказать что	2	11
19	прежде всего	10	10
20	и не	11	9
21	и с	3	9
22	вместе с	6	9
23	и на	6	8
24	в основе	2	8
25	вопрос о	2	7
26	в этой	6	7
27	в самом	11	7
28	по отношению	2	7
29	в то	2	7
30	так как	3	7
31	с тем	9	7
32	что он	10	7
33	отношению к	2	7
34	с этой	4	6
35	все это	6	6
36	лишь в	6	6
37	потому что	16	6
38	с этим	3	6
39	о том	2	6
40	по сравнению	2	6
41	мысли и	2	6
42	и его	9	6
43	тем что	4	6
44	в себе	7	6
45	только в	6	6
46	то время	2	5
47	и как	2	5
48	и все	10	5
49	бы в	2	5
50	если бы	2	5
51	но в	7	5
52	по своей	2	5
53	и что	2	5
54	он не	24	5
55	но не	8	4
56	в свою	2	4
57	не в	16	4
58	высшей степени	2	4
59	время как	2	4
60	в котором	8	4
61	в свете	3	4
62	все эти	2	4
63	в высшей	2	4
64	проблемы и	2	4
65	с его	3	4
66	к этому	2	4
67	и к	2	4
68	было бы	10	4
69	к тому	3	4
70	должен быть	2	4
71	в своей	15	4
72	сих пор	2	4
73	как в	2	4
74	приводит к	2	4
75	хотя бы	3	4
76	мы видим	2	4
77	до сих	2	4
78	может не	2	3
79	уже в	4	3
80	в своем	10	3
81	и от	2	3
82	смысле слова	4	3
83	и мы	2	3
84	в их	4	3
85	отношения к	4	3
86	его не	3	3
87	в которых	4	3
88	как он	2	3
89	учение о	3	3
90	она не	4	3
91	человека и	14	3
92	все же	2	3
93	не остается	2	3
94	а не	25	3
95	ко всем	3	3
96	на этот	2	3
97	он в	2	3
98	могут быть	2	3
99	в каком	2	3
100	и это	12	3
101	в которой	6	3
102	ничего не	3	3
103	за собой	2	2
104	связана с	2	2
105	никогда не	14	2
106	в конце	7	2
107	на этом	3	2
108	для него	11	2
109	о чем	2	2
110	был бы	10	2
111	не имеет	3	2
112	один из	4	2
113	не к	4	2
114	жизни и	2	2
115	отрывается от	2	2
116	и вот	3	2
117	должно быть	3	2
118	бы и	3	2
119	а в	4	2
120	и те	2	2
121	одно из	3	2
122	вопрос и	2	2
123	в этих	4	2
124	человека с	2	2
125	от этого	2	2
126	в них	4	2
127	и я	5	2
128	он должен	3	2
129	с собой	3	2
130	есть не	4	2
131	в ее	3	2
132	связано с	2	2
133	себе и	2	2
134	за пределы	4	2
135	и потому	10	2
136	всего в	2	2
137	когда он	3	2
138	с ней	2	2
139	уже не	4	2
140	к этим	2	2
141	человека к	2	2
