N	2gram	Savitsky_P_1	StatiiOP
1	и в	14	25
2	в этом	10	24
3	в том	9	20
4	что в	4	19
5	может быть	5	19
6	том что	4	15
7	и пр	5	13
8	г и	2	12
9	в его	2	12
10	то что	4	12
11	не только	17	12
12	прежде всего	3	10
13	и не	12	10
14	но и	6	9
15	и т	3	8
16	все это	2	8
17	т е	3	8
18	это не	3	7
19	было бы	6	7
20	с этим	2	7
21	не может	4	7
22	точки зрения	3	7
23	в то	7	7
24	не в	5	6
25	только в	7	6
26	как бы	4	6
27	как на	2	6
28	а в	4	6
29	в русской	4	6
30	в россии	3	6
31	в области	11	6
32	между тем	3	6
33	то же	9	5
34	в них	2	5
35	потому что	3	5
36	с другой	5	5
37	в котором	4	5
38	и это	2	5
39	а не	2	5
40	того что	2	5
41	но в	9	5
42	с тем	3	4
43	в жизни	2	4
44	в смысле	6	4
45	в начале	2	4
46	в качестве	9	4
47	в общем	2	4
48	если бы	4	4
49	например в	2	4
50	и к	4	4
51	в ней	6	4
52	а также	4	4
53	и тем	2	4
54	не было	2	4
55	с точки	3	4
56	и с	2	4
57	xix века	6	4
58	в эту	2	4
59	же время	7	3
60	тем более	2	3
61	одной стороны	3	3
62	и если	4	3
63	между прочим	2	3
64	со стороны	2	3
65	как раз	2	3
66	что мы	3	3
67	в виде	2	3
68	говорить о	2	3
69	с о	2	3
70	я и	3	3
71	не менее	2	2
72	в определенную	2	2
73	не столько	2	2
74	д д	2	2
75	но также	4	2
76	есть в	2	2
77	но не	3	2
78	к л	3	2
79	во всех	2	2
80	одна из	2	2
81	в статье	2	2
82	что из	2	2
83	если в	2	2
84	в отношении	10	2
85	россии и	4	2
86	с одной	3	2
87	и других	2	2
88	заключается в	3	2
89	для того	3	2
90	мы не	3	2
91	в которых	5	2
92	могут быть	3	2
93	в выборе	2	2
94	в русском	2	2
