N	2gram	Savitsky_P_1	TeoriaLi
1	в мире	2	24
2	не только	17	18
3	в качестве	9	17
4	и не	12	16
5	а в	4	14
6	в частности	2	13
7	и в	14	13
8	может быть	5	12
9	в этом	10	11
10	в том	9	11
11	но не	3	10
12	а не	2	10
13	в его	2	9
14	то же	9	9
15	сводится к	3	8
16	что в	4	8
17	но и	6	8
18	в себе	3	7
19	том что	4	7
20	точки зрения	3	7
21	в то	7	7
22	только в	7	7
23	же время	7	6
24	как бы	4	6
25	в русской	4	6
26	но в	9	6
27	в своем	4	5
28	а также	4	5
29	в ее	2	5
30	не в	5	5
31	в пределах	8	5
32	в нем	3	5
33	тем самым	3	5
34	с другой	5	5
35	между тем	3	5
36	не менее	2	4
37	не столько	2	4
38	то что	4	4
39	не может	4	4
40	хотя и	3	4
41	говорить о	2	4
42	в порядке	3	3
43	в отношении	10	3
44	прежде всего	3	3
45	и к	4	3
46	того что	2	3
47	например в	2	3
48	и потому	4	3
49	как раз	2	3
50	именно в	2	3
51	и вот	2	3
52	потому что	3	3
53	отношении к	5	3
54	если бы	4	2
55	могут быть	3	2
56	это не	3	2
57	и весьма	2	2
58	по себе	4	2
59	и как	3	2
60	одной стороны	3	2
61	о в	5	2
62	вслед за	3	2
63	и тем	2	2
64	во всех	2	2
65	со стороны	2	2
66	с одной	3	2
67	и о	5	2
68	с точки	3	2
69	во всей	2	2
70	о и	2	2
71	культуры в	2	2
72	в сочетании	2	2
73	и это	2	2
74	отношения к	2	2
75	в области	11	2
76	я и	3	2
