N	2gram	Tiupa_Anal_2	VrazhdaK
1	не только	16	9
2	в этом	18	8
3	и в	16	8
4	но и	12	7
5	что в	2	7
6	то что	7	7
7	и все	3	7
8	в котором	2	6
9	и даже	9	6
10	как и	14	6
11	но в	6	6
12	то же	4	5
13	и не	12	5
14	у него	4	5
15	между тем	2	5
16	в то	2	5
17	же время	2	5
18	как бы	10	4
19	все это	4	4
20	так же	2	4
21	с ним	2	4
22	может быть	6	4
23	при этом	10	4
24	несмотря на	3	4
25	о том	7	4
26	речь идет	2	3
27	в своем	4	3
28	и во	2	3
29	о себе	2	3
30	в конце	4	3
31	т е	2	3
32	к этому	2	3
33	на то	2	3
34	он был	2	3
35	в том	12	3
36	и его	4	3
37	том что	12	3
38	тем что	3	3
39	в его	2	3
40	его в	2	3
41	он не	2	3
42	и т.п	8	2
43	место в	3	2
44	в своей	2	2
45	из них	3	2
46	не менее	4	2
47	никогда не	3	2
48	вместе с	2	2
49	отнюдь не	8	2
50	столь же	4	2
51	как раз	4	2
52	не может	4	2
53	а в	3	2
54	тогда как	19	2
55	отношения к	2	2
56	таким образом	2	2
57	в одну	2	2
58	уже не	4	2
59	не мог	3	2
60	и он	2	2
61	же не	2	2
62	с точки	2	2
63	на основе	2	2
64	в этой	9	2
65	и то	3	2
66	точки зрения	4	2
67	и стал	2	2
68	в себе	7	2
69	для него	4	2
70	еще не	2	2
71	о чем	2	2
72	в мире	6	2
73	ответ на	3	2
74	в эту	3	2
75	нашего времени	4	2
76	а также	7	2
