N	3gram	Losev_Prob_1	Dialekti
1	и т д	10	15
2	с точки зрения	3	9
3	не есть ни	5	9
4	в том что	5	9
5	что иное как	2	8
6	не что иное	2	8
7	по крайней мере	2	7
8	в то же	4	6
9	не может быть	2	6
10	сама по себе	4	5
11	есть не что	2	5
12	для того чтобы	8	5
13	что она есть	2	4
14	ни в каком	3	4
15	подобно тому как	2	4
16	в этом смысле	6	4
17	т д и	4	3
18	и в этом	2	3
19	на то что	8	3
20	не говоря уже	2	3
21	не имеет ничего	2	2
22	то и другое	2	2
23	иметь в виду	3	2
24	сам по себе	7	2
25	имеет ничего общего	2	2
26	тем или другим	3	2
27	и даже вообще	2	2
28	тем не менее	18	2
29	ничего общего с	7	2
30	точно так же	4	2
31	о том как	2	2
32	то что мы	6	2
33	д и т	3	2
