N	2gram	Losev_Vlad_1	slovoVRo
1	и в	31	39
2	может быть	6	37
3	и т	2	35
4	и его	7	33
5	то есть	3	26
6	не только	24	24
7	и не	17	22
8	но и	19	21
9	не может	6	20
10	в нем	4	19
11	все это	5	16
12	в этом	14	16
13	так и	6	15
14	как в	3	13
15	в истории	4	11
16	вовсе не	5	10
17	к своему	3	9
18	не в	5	9
19	со своим	5	9
20	и с	14	9
21	себя в	4	8
22	таким образом	3	8
23	точки зрения	2	8
24	с его	11	7
25	при этом	2	7
26	для него	7	7
27	еще не	2	7
28	в его	12	7
29	никогда не	9	7
30	и потому	6	7
31	и даже	15	7
32	как мы	9	7
33	с ним	5	7
34	в них	2	6
35	и к	6	6
36	все же	3	6
37	как и	4	6
38	в своем	4	6
39	но не	3	6
40	жизни и	5	6
41	все эти	3	6
42	но в	12	6
43	с другой	3	5
44	и для	2	5
45	и все	4	5
46	для нас	4	5
47	том что	14	5
48	только в	9	5
49	в том	11	5
50	один из	4	5
51	уже не	3	5
52	с ними	2	5
53	от него	2	5
54	конечно не	2	5
55	не менее	2	4
56	ни в	2	4
57	же время	4	4
58	в отношении	3	4
59	то же	6	4
60	и других	2	4
61	а в	9	4
62	и на	3	4
63	даже и	9	4
64	в то	8	4
65	отношение к	3	4
66	здесь не	3	4
67	во всем	4	4
68	так как	8	4
69	что в	14	3
70	хотя бы	2	3
71	не столько	2	3
72	и от	5	3
73	что и	5	3
74	но это	3	3
75	на этом	2	3
76	у него	15	3
77	глубоко и	2	3
78	и как	4	3
79	как к	2	3
80	к нему	4	3
81	лишь в	2	3
82	а также	5	3
83	той же	2	3
84	сказать что	7	3
85	в особенности	4	3
86	в чем	2	3
87	как это	7	3
88	во всяком	2	3
89	и затем	2	2
90	уже в	7	2
91	не был	5	2
92	не было	5	2
93	хотя и	4	2
94	в нашем	4	2
95	но она	3	2
96	но он	5	2
97	с которым	2	2
98	в себе	4	2
99	и здесь	3	2
100	что он	12	2
101	в дальнейшем	8	2
102	несколько слов	2	2
103	более или	3	2
104	все что	2	2
105	мы увидим	3	2
106	мы уже	7	2
107	за пределы	3	2
108	к ней	4	2
109	о нем	7	2
110	просто не	2	2
111	всяком случае	2	2
112	даже в	2	2
113	и особенно	4	2
114	которого он	2	2
115	но мы	2	2
116	на его	3	2
117	то что	18	2
118	дело в	4	2
119	в свой	2	2
120	вместе с	3	2
121	на него	3	2
122	или менее	3	2
123	и речи	3	2
124	а именно	2	2
125	кроме того	7	2
126	в связи	3	2
127	и ни	2	2
128	т д	2	2
129	в виде	3	2
130	быть также	2	2
131	чем не	2	2
132	это и	2	2
133	того чтобы	2	2
134	для того	2	2
135	одним из	2	2
136	также и	10	2
137	в результате	2	2
138	он не	10	2
139	к его	3	2
140	но как	5	2
141	о том	11	2
142	как он	4	2
