N	2gram	Vygotskiy__1	Poddanst
1	не только	16	17
2	и в	23	14
3	и не	9	12
4	в области	3	11
5	в отношении	10	10
6	в этом	17	10
7	то же	8	9
8	в том	24	9
9	в качестве	9	9
10	но в	5	9
11	хотя бы	4	8
12	же время	2	7
13	в то	7	7
14	только в	6	7
15	но и	14	6
16	в смысле	2	6
17	было бы	4	6
18	с другой	10	5
19	не в	4	5
20	в которых	3	5
21	и пр	2	5
22	может быть	14	5
23	в котором	4	4
24	то что	17	4
25	что в	14	4
26	если бы	5	4
27	в своем	3	4
28	не может	12	4
29	по себе	5	4
30	и к	4	4
31	а в	2	4
32	том что	21	4
33	мы должны	5	4
34	и если	3	4
35	как бы	11	4
36	и потому	2	4
37	с тем	7	3
38	столь же	6	3
39	с одной	8	3
40	прежде всего	10	3
41	заключается в	8	3
42	тем самым	5	3
43	для того	15	3
44	с точки	18	3
45	мы не	7	3
46	и как	5	3
47	между тем	9	3
48	но не	4	3
49	могут быть	3	3
50	точки зрения	26	3
51	в себе	6	3
52	что мы	5	3
53	одной стороны	9	3
54	вслед за	2	3
55	потому что	6	3
56	хотя и	2	3
57	в сфере	3	2
58	и тем	6	2
59	не к	2	2
60	именно в	6	2
61	во всех	3	2
62	в частности	2	2
63	друг другу	3	2
64	тем более	5	2
65	в них	2	2
66	все это	6	2
67	во всей	4	2
68	как раз	4	2
69	не столько	4	2
70	отношения к	3	2
71	с этим	6	2
72	главным образом	2	2
73	и других	3	2
74	которую мы	4	2
75	и вот	2	2
76	в значительной	2	2
77	а не	3	2
78	того что	15	2
79	должно быть	2	2
80	в ее	2	2
81	как на	4	2
82	говорить о	2	2
83	есть не	2	2
84	в силу	6	2
85	из важнейших	2	2
86	в виде	2	2
87	по сравнению	6	2
88	в общем	3	2
89	и мы	3	2
90	и это	3	2
91	в его	14	2
92	и с	9	2
