N	3gram	Potebnia_M_2	Dialekti
1	и т д	3	15
2	по крайней мере	5	9
3	сама по себе	2	7
4	в том что	7	6
5	то же время	2	4
6	в том смысле	4	4
7	одно и то	2	4
8	и то же	2	4
9	с другой стороны	2	4
10	только тогда когда	2	4
11	в то время	4	3
12	сам по себе	4	3
13	и может быть	2	3
14	в таком случае	2	3
15	в то же	2	3
16	по себе не	3	3
17	сами по себе	7	3
18	не может быть	2	3
19	то время как	3	3
20	с самого начала	2	2
21	более или менее	8	2
22	как бы ни	3	2
23	не могут быть	3	2
24	не в состоянии	4	2
25	в одно время	4	2
26	тем не менее	5	2
27	и т п	3	2
28	или по крайней	2	2
29	само по себе	2	2
30	до сих пор	4	2
31	во всяком случае	7	2
32	от того что	4	2
