N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	26
2	т е	3	18
3	так же	4	18
4	то что	7	16
5	не только	9	15
6	что в	7	14
7	может быть	4	14
8	же как	2	13
9	но и	7	12
10	что он	4	10
11	таким образом	2	10
12	и его	3	10
13	при помощи	2	10
14	все же	6	9
15	и не	5	9
16	его в	3	9
17	мы знаем	2	8
18	то же	5	8
19	а в	2	8
20	во время	2	7
21	об этом	5	7
22	как и	6	7
23	он не	3	7
24	их в	2	7
25	в этом	8	7
26	еще не	2	6
27	вместе с	2	6
28	не может	2	6
29	и то	2	6
30	у него	5	5
31	и как	3	5
32	это не	4	5
33	к этому	3	5
34	в его	3	5
35	и у	3	5
36	и что	8	5
37	уже не	2	5
38	и с	6	5
39	тем что	3	5
40	но в	6	5
41	в своей	2	4
42	в этот	3	4
43	так в	2	4
44	тогда как	2	4
45	его на	2	4
46	и даже	6	4
47	но он	3	4
48	о том	4	4
49	что у	3	3
50	к себе	2	3
51	же в	2	3
52	для нас	4	3
53	в том	3	3
54	том что	3	3
55	но это	2	3
56	при этом	4	3
57	как бы	4	3
58	а также	2	3
59	и он	2	3
60	на то	3	3
61	наряду с	3	3
62	не мог	2	3
63	связи с	3	3
64	в русской	3	3
65	человека с	2	3
66	о чем	2	3
67	уже в	4	2
68	не менее	2	2
69	никогда не	2	2
70	его и	2	2
71	в своем	3	2
72	и во	3	2
73	и все	7	2
74	в одну	2	2
75	этот момент	2	2
76	что я	2	2
77	в истории	4	2
78	одна из	2	2
79	к ним	2	2
80	в русских	2	2
81	в нем	6	2
82	отношение к	2	2
83	из них	2	2
84	все это	4	2
85	что есть	3	2
86	в связи	3	2
87	чтобы он	3	2
88	его с	2	2
89	в себе	2	2
90	в этой	2	2
91	на это	2	2
