N	2gram	Losev_Vesc_1	Otkroven
1	у него	2	22
2	и в	21	19
3	но и	18	13
4	и не	29	13
5	в этом	4	12
6	а не	19	11
7	не в	5	11
8	может быть	16	11
9	не только	36	11
10	и все	5	10
11	в нем	2	10
12	никогда не	2	9
13	в самой	2	9
14	потому что	16	9
15	прежде всего	9	9
16	ни с	6	7
17	но он	2	7
18	в его	2	7
19	все это	5	6
20	как и	8	6
21	то что	27	5
22	а в	4	5
23	в том	8	5
24	для него	4	5
25	в этой	3	5
26	в самом	9	5
27	в россии	2	5
28	всегда есть	3	4
29	т е	55	4
30	только и	2	4
31	того чтобы	3	4
32	что не	5	4
33	есть лишь	2	4
34	и его	2	4
35	все эти	3	4
36	не может	17	4
37	что в	9	4
38	только одно	2	3
39	и есть	26	3
40	мысли и	3	3
41	это не	5	3
42	и вот	2	3
43	различие между	2	3
44	того что	8	3
45	для того	2	3
46	хотя бы	6	3
47	еще не	8	3
48	и от	3	3
49	и ее	18	3
50	в себе	14	3
51	было бы	14	3
52	о том	6	3
53	с ним	8	3
54	как бы	12	3
55	все же	4	2
56	что и	3	2
57	не есть	49	2
58	и для	9	2
59	с тем	5	2
60	с чем	7	2
61	можно ли	7	2
62	так и	3	2
63	в своем	6	2
64	для всякого	2	2
65	что у	5	2
66	что есть	5	2
67	что же	8	2
68	как к	4	2
69	что все	2	2
70	все еще	3	2
71	ли сказать	3	2
72	по себе	13	2
73	же это	4	2
74	о которой	2	2
75	должно быть	6	2
76	в ее	7	2
77	самое главное	2	2
78	том что	8	2
79	так что	5	2
80	в другом	2	2
81	ничто не	2	2
82	и то	10	2
83	что они	6	2
84	сказать что	17	2
85	и с	8	2
86	тем что	2	2
87	даже и	4	2
88	момент в	6	2
89	его в	2	2
90	в своей	5	2
91	так как	7	2
92	и о	3	2
93	ничего не	3	2
94	хотя и	4	2
95	к ней	2	2
96	но в	5	2
97	и потому	5	2
