N	2gram	Nazirov_Tv_1	Myshleni
1	в том	7	28
2	и в	21	28
3	то что	8	28
4	в этом	6	27
5	того что	3	24
6	потому что	5	22
7	не может	4	19
8	том что	11	19
9	таким образом	5	18
10	что он	6	18
11	только в	5	18
12	что в	12	17
13	не только	7	16
14	так же	3	15
15	может быть	5	13
16	сказать что	2	13
17	и не	7	11
18	как бы	17	11
19	к тому	2	10
20	но и	3	10
21	отношений между	2	10
22	так как	3	10
23	но не	3	10
24	никогда не	3	8
25	в самом	3	8
26	тем самым	7	8
27	самого начала	3	7
28	того же	2	7
29	с самого	3	7
30	в нем	3	7
31	в своем	4	7
32	и других	3	7
33	он не	8	7
34	вместе с	2	7
35	то же	13	7
36	в которой	3	7
37	так что	2	6
38	и как	4	6
39	для него	6	6
40	в то	15	6
41	как и	12	6
42	можно сказать	2	6
43	так и	2	6
44	приводит к	2	6
45	и отношений	2	6
46	в чем	2	6
47	это не	4	5
48	и тем	2	5
49	и на	7	5
50	и все	6	5
51	но в	7	5
52	что все	3	5
53	то в	2	5
54	могут быть	2	5
55	в этой	5	5
56	я не	3	4
57	именно в	2	4
58	в частности	2	4
59	не в	2	4
60	но если	3	4
61	к жизни	2	4
62	в одной	2	4
63	в первом	2	4
64	в качестве	2	4
65	что и	2	4
66	и того	2	4
67	той же	3	4
68	в себе	2	4
69	зависит от	2	3
70	в каждом	3	3
71	а по	2	3
72	до конца	2	3
73	в нашей	2	3
74	при этом	7	3
75	на его	3	3
76	хотя и	3	3
77	в целом	4	3
78	в их	3	3
79	и по	3	3
80	в своих	5	3
81	больше чем	2	3
82	в основе	2	3
83	к осознанию	2	3
84	с его	11	3
85	это и	3	3
86	не по	3	3
87	один из	4	3
88	в его	13	3
89	как в	8	3
90	в себя	2	3
91	а не	5	3
92	и его	6	3
93	представляет собой	3	3
94	ту же	3	3
95	не знает	2	3
96	не менее	6	2
97	он сам	6	2
98	и другие	3	2
99	все более	2	2
100	в этих	2	2
101	с другой	3	2
102	это в	3	2
103	прежде всего	4	2
104	но это	5	2
105	самом деле	2	2
106	одним из	4	2
107	и от	4	2
108	в котором	6	2
109	во второй	2	2
110	из них	2	2
111	все это	10	2
112	но только	2	2
113	на том	2	2
114	и наконец	2	2
115	но он	2	2
116	известно что	2	2
117	приходит к	3	2
118	с ним	3	2
119	у него	7	2
120	по самому	2	2
121	в своей	4	2
122	еще в	2	2
123	все же	5	2
124	когда он	2	2
125	ее в	3	2
126	мысли и	4	2
127	только на	2	2
128	а в	6	2
129	только что	2	2
130	своего собственного	2	2
131	вот почему	3	2
132	в данном	2	2
133	что я	3	2
