N	2gram	Vygotskiy__2	Problema
1	то что	20	42
2	вовсе не	6	35
3	и в	15	32
4	и не	7	31
5	в этом	19	19
6	не только	15	17
7	потому что	7	16
8	по себе	7	15
9	а не	3	15
10	в себе	2	15
11	как бы	7	14
12	может быть	9	14
13	указывает на	2	14
14	но в	6	14
15	и тем	2	13
16	сказать что	6	13
17	что мы	9	13
18	при помощи	4	13
19	как раз	4	13
20	что в	14	12
21	том что	27	12
22	так и	8	12
23	есть нечто	2	11
24	и даже	5	11
25	также и	2	11
26	о том	9	11
27	так как	4	11
28	если мы	6	11
29	то же	5	10
30	прежде всего	4	10
31	в этой	6	10
32	отнюдь не	2	10
33	об этом	3	10
34	ничего не	3	10
35	но не	3	9
36	в том	33	9
37	это есть	2	9
38	но и	10	9
39	и что	8	9
40	так же	4	9
41	же самое	2	9
42	что же	2	9
43	того чтобы	12	9
44	в данном	3	9
45	и это	3	9
46	на то	6	8
47	данном случае	3	8
48	не может	9	8
49	все эти	3	8
50	было бы	10	8
51	общего с	2	8
52	в своей	4	8
53	как нечто	2	8
54	для того	10	8
55	и ее	3	8
56	никогда не	8	7
57	ни в	2	7
58	смысле слова	5	7
59	все это	4	7
60	того что	17	7
61	в них	4	7
62	и все	3	7
63	что он	12	7
64	во всех	2	7
65	как мы	6	7
66	во всяком	7	7
67	тем что	2	7
68	только в	4	7
69	и есть	2	6
70	и как	2	6
71	при этом	3	6
72	в самом	11	6
73	в виду	6	6
74	таким образом	14	6
75	это не	5	6
76	говорить о	2	6
77	как это	6	6
78	не существует	3	6
79	этом смысле	2	6
80	за пределы	2	6
81	в его	2	6
82	на самом	3	6
83	самом деле	6	6
84	перед нами	2	5
85	в своем	9	5
86	или иной	2	5
87	можно сказать	2	5
88	для нас	4	5
89	мы уже	6	5
90	той или	2	5
91	в котором	2	5
92	что она	3	5
93	мы должны	6	5
94	не является	9	5
95	тем более	3	5
96	связи с	9	5
97	действительности и	3	5
98	все равно	2	5
99	в других	2	5
100	казалось бы	8	4
101	именно в	2	4
102	сама по	2	4
103	не в	8	4
104	философии и	3	4
105	с целью	2	4
106	по поводу	4	4
107	после этого	2	4
108	на том	2	4
109	в их	2	4
110	для обозначения	2	4
111	и только	3	4
112	мышления и	16	4
113	или в	3	4
114	а в	4	4
115	их в	4	4
116	в истории	6	4
117	как он	6	4
118	если бы	8	4
119	а также	2	4
120	как в	4	4
121	тем самым	3	4
122	и для	2	4
123	мы можем	10	4
124	в связи	6	4
125	и вообще	2	4
126	указание на	4	4
127	только для	3	3
128	уже в	5	3
129	что это	6	3
130	в этих	2	3
131	объективной действительности	2	3
132	в отношении	6	3
133	с другой	6	3
134	что все	4	3
135	что его	4	3
136	но все	2	3
137	что они	3	3
138	более или	2	3
139	случае не	2	3
140	несмотря на	4	3
141	но для	2	3
142	всяком случае	6	3
143	хотя бы	4	3
144	из них	3	3
145	для этого	3	3
146	и его	4	3
147	что оно	4	3
148	в теории	6	3
149	в самой	3	3
150	в которых	3	3
151	с этим	3	3
152	точки зрения	26	3
153	что здесь	2	3
154	но ведь	2	3
155	однако и	2	3
156	с ним	3	3
157	или как	2	3
158	нисколько не	2	3
159	уже и	2	3
160	по этому	6	3
161	бы мы	2	3
162	для себя	3	3
163	о которых	3	3
164	как и	6	3
165	того же	3	3
166	мы увидим	2	3
167	к тому	7	3
168	он не	7	3
169	для которого	3	3
170	или менее	2	3
171	этому поводу	3	3
172	того как	4	3
173	на этот	6	3
174	во всей	5	3
175	с точки	18	3
176	можно было	5	3
177	которые не	2	3
178	он сам	3	2
179	не могут	2	2
180	все время	3	2
181	мы будем	3	2
182	же как	2	2
183	что если	2	2
184	без всякого	2	2
185	но что	2	2
186	для него	3	2
187	но если	2	2
188	на этой	2	2
189	и до	3	2
190	и всю	2	2
191	является то	2	2
192	мы находим	6	2
193	не имеет	4	2
194	должно быть	2	2
195	что для	3	2
196	в результате	3	2
197	больше чем	2	2
198	и с	4	2
199	из этих	4	2
200	к его	2	2
201	мы имеем	3	2
202	с собой	3	2
203	говорили выше	2	2
204	есть функция	2	2
205	с его	4	2
206	могут быть	2	2
207	он должен	2	2
208	то он	2	2
209	увидим ниже	2	2
210	для всего	2	2
211	по существу	5	2
212	мы видим	4	2
213	в качестве	4	2
214	в сущности	9	2
215	нет и	2	2
216	и особенно	3	2
217	вместе с	6	2
218	ее в	2	2
219	только что	3	2
220	мы не	10	2
221	с другими	3	2
222	тому как	2	2
223	нас в	2	2
224	на одном	2	2
225	он в	3	2
226	подобно тому	2	2
227	и другое	2	2
228	едва ли	7	2
229	не потому	2	2
230	в которой	4	2
231	учения о	2	2
232	не то	2	2
233	в эту	4	2
234	не можем	3	2
