N	2gram	Tiupa_Hudo_1	Tragedij
1	и в	14	18
2	в этом	11	9
3	не только	12	8
4	и не	2	7
5	и на	3	7
6	и с	4	7
7	может быть	5	7
8	как бы	7	7
9	что он	9	6
10	и его	5	6
11	же время	8	6
12	у него	9	6
13	но в	5	6
14	все же	3	5
15	к жизни	5	5
16	так и	13	5
17	это не	7	5
18	не может	7	5
19	то же	9	5
20	как и	9	5
21	в то	8	5
22	несмотря на	4	5
23	но и	5	4
24	то что	8	4
25	в целом	2	4
26	что в	6	4
27	все это	2	4
28	прежде всего	11	4
29	и все	4	4
30	в нем	3	4
31	и даже	3	4
32	том что	16	4
33	в этой	8	4
34	что я	2	4
35	и что	2	4
36	в себе	11	4
37	еще не	7	4
38	об этом	5	4
39	один из	4	3
40	с ее	2	3
41	отнюдь не	3	3
42	в своем	4	3
43	в конце	4	3
44	как в	8	3
45	все эти	3	3
46	и он	5	3
47	должно быть	2	3
48	в его	8	3
49	для него	10	3
50	при этом	12	3
51	своего рода	7	3
52	как будто	4	3
53	в мире	3	3
54	с ним	4	3
55	еще в	3	2
56	не имеет	2	2
57	перед нами	5	2
58	в частности	5	2
59	и личность	2	2
60	то и	3	2
61	по мнению	5	2
62	вопрос о	2	2
63	уже не	7	2
64	с его	5	2
65	к тому	7	2
66	столь же	4	2
67	в ходе	3	2
68	ни в	5	2
69	в ее	3	2
70	в том	12	2
71	до конца	2	2
72	друг друга	5	2
73	так что	2	2
74	в таком	3	2
75	не в	7	2
76	в глазах	6	2
77	в рассказе	11	2
78	не случайно	7	2
79	одна из	2	2
80	потому что	5	2
81	ничем не	3	2
82	тем что	3	2
83	личности и	2	2
84	еще раз	2	2
85	в это	2	2
86	жизнью и	2	2
87	о том	12	2
88	его в	3	2
89	и это	4	2
90	в самом	4	2
91	ничего не	8	2
92	он не	4	2
93	что она	4	2
94	никогда не	6	2
