N	2gram	Bakhtin_Fr_7	Hudozhes
1	и в	41	28
2	том что	4	19
3	и не	7	18
4	своего рода	2	16
5	в том	11	15
6	а не	2	14
7	не в	9	13
8	в этом	15	13
9	о том	6	12
10	перед нами	2	11
11	как и	14	11
12	при этом	3	11
13	в его	12	11
14	не только	5	11
15	уже не	2	10
16	но и	9	9
17	в себе	11	9
18	что он	3	8
19	может быть	4	8
20	так и	10	8
21	я не	3	7
22	и все	14	7
23	к тому	2	7
24	в мире	3	7
25	отношению к	2	7
26	по отношению	2	7
27	с ним	2	7
28	это не	6	6
29	то что	8	6
30	жизни и	3	6
31	в своей	3	6
32	то же	13	6
33	не было	3	6
34	а в	5	6
35	и с	4	6
36	тем что	3	6
37	в то	10	6
38	с его	2	5
39	что это	4	5
40	и другие	3	5
41	у него	6	5
42	в своем	9	5
43	как бы	7	5
44	как в	5	5
45	с ее	3	5
46	в этой	13	5
47	что в	9	5
48	никогда не	2	5
49	только на	2	5
50	и его	9	5
51	рядом с	4	5
52	для него	6	5
53	ничего не	4	5
54	в качестве	9	4
55	же время	9	4
56	он не	4	4
57	что и	5	4
58	и сама	2	4
59	не может	3	4
60	человека в	2	4
61	только в	6	4
62	в человеке	2	3
63	все время	2	3
64	в них	7	3
65	характерно что	2	3
66	в состоянии	2	3
67	в одном	3	3
68	что все	2	3
69	прежде всего	11	3
70	в нем	7	3
71	и ее	2	3
72	это была	3	3
73	все что	4	3
74	как о	3	3
75	есть и	3	3
76	еще не	2	3
77	было бы	4	3
78	в это	3	3
79	несмотря на	3	3
80	одной из	2	3
81	в ней	5	3
82	мы уже	12	3
83	в этих	2	3
84	все они	6	3
85	все это	10	3
86	так же	5	3
87	или в	2	3
88	можно было	3	3
89	с ними	3	3
90	и на	4	3
91	что у	3	3
92	как он	2	3
93	и это	5	3
94	к нему	5	3
95	все его	3	3
96	он знает	2	2
97	место в	4	2
98	сам он	3	2
99	в последней	4	2
100	именно в	2	2
101	и от	8	2
102	вовсе не	7	2
103	как мы	11	2
104	одна из	4	2
105	на этом	5	2
106	они и	2	2
107	на другой	2	2
108	но именно	3	2
109	и к	5	2
110	о нем	3	2
111	а также	2	2
112	все те	2	2
113	оно не	2	2
114	это было	2	2
115	отношение к	2	2
116	во второй	2	2
117	из них	3	2
118	вместе с	5	2
119	дело не	2	2
120	того как	5	2
121	тем самым	3	2
122	и у	5	2
123	и эта	3	2
124	и для	5	2
125	с точки	3	2
126	той же	3	2
127	роль в	2	2
128	в данном	2	2
129	и то	2	2
130	потому что	5	2
131	точки зрения	5	2
132	и т.д	2	2
133	его в	3	2
134	та же	4	2
135	но в	8	2
136	том как	2	2
