N	2gram	Bakhtin_Pr_2	VelikijI
1	и не	42	20
2	и в	45	16
3	то что	5	9
4	так как	5	9
5	еще не	9	8
6	в истории	2	8
7	что они	3	7
8	и потому	6	7
9	а не	10	7
10	человека и	2	6
11	не есть	2	6
12	в мире	3	5
13	хотя и	2	5
14	как бы	15	5
15	но и	15	5
16	все это	5	5
17	того что	3	5
18	что все	3	4
19	в образе	3	4
20	что он	7	4
21	в нем	20	4
22	как и	14	4
23	все что	3	4
24	в котором	7	4
25	так и	3	4
26	что не	5	4
27	потому что	8	4
28	в этом	20	4
29	в ней	7	4
30	в его	22	4
31	с его	8	3
32	если не	2	3
33	должна быть	3	3
34	что в	6	3
35	в этих	4	3
36	в них	4	3
37	превращается в	4	3
38	в конце	4	3
39	в жизни	3	3
40	ни в	2	3
41	в том	8	3
42	не в	8	3
43	но это	2	3
44	тот же	2	3
45	во всех	4	3
46	этого мира	2	3
47	никогда не	17	3
48	что и	5	3
49	жизни и	15	3
50	как не	5	3
51	в своей	6	3
52	бы и	3	3
53	не было	2	3
54	лишь в	2	3
55	и что	2	3
56	не имеет	3	3
57	хотя бы	5	3
58	и для	2	3
59	должно быть	4	3
60	их в	7	3
61	все эти	4	3
62	в чем	2	3
63	но в	6	3
64	человека как	2	2
65	его и	3	2
66	это не	3	2
67	прежде всего	11	2
68	том что	7	2
69	мы и	3	2
70	одна из	3	2
71	от него	3	2
72	но не	6	2
73	они и	2	2
74	конечно не	6	2
75	для него	9	2
76	для них	3	2
77	и сам	3	2
78	ивана карамазова	4	2
79	уже на	2	2
80	но теперь	2	2
81	не только	16	2
82	нет и	3	2
83	один из	2	2
84	ее в	2	2
85	в форме	2	2
86	понимает и	2	2
87	а с	3	2
88	тем что	2	2
89	уже не	6	2
90	а есть	3	2
91	не так	2	2
92	вот почему	3	2
93	а в	3	2
94	с ним	8	2
95	можно было	2	2
96	людей и	2	2
97	могут быть	4	2
98	только в	9	2
99	мы слышим	2	2
100	к нам	2	2
