N	2gram	Nazirov_Tv_2	PoTuStor
1	может быть	8	17
2	и в	20	16
3	прежде всего	8	9
4	таким образом	10	9
5	в этом	8	9
6	и только	2	9
7	и его	9	8
8	и с	8	8
9	не может	7	8
10	не только	13	7
11	и это	3	6
12	самом деле	2	6
13	для него	3	6
14	при этом	8	6
15	только для	2	5
16	все эти	4	5
17	в чем	4	5
18	еще не	5	5
19	как бы	11	5
20	в нем	3	4
21	отнюдь не	4	4
22	но и	8	4
23	так и	6	4
24	все это	6	4
25	так как	3	4
26	и не	9	4
27	и ее	2	4
28	и наконец	2	4
29	и даже	5	4
30	с ними	2	4
31	и на	5	4
32	в этой	5	4
33	только в	2	4
34	его в	3	4
35	но в	4	4
36	в его	10	4
37	что в	7	3
38	и есть	2	3
39	и др	3	3
40	могут быть	2	3
41	вместе с	3	3
42	сих пор	3	3
43	в одном	2	3
44	крайней мере	2	3
45	в том	8	3
46	а в	4	3
47	том что	4	3
48	с другими	2	3
49	то что	3	3
50	их в	2	3
51	в основе	2	3
52	по крайней	2	3
53	едва ли	2	3
54	во всяком	2	3
55	в основном	6	3
56	и потому	4	3
57	до сих	3	3
58	всяком случае	2	3
59	не менее	2	2
60	нет и	2	2
61	один из	3	2
62	и лишь	2	2
63	в душе	4	2
64	же как	3	2
65	в частности	2	2
66	никогда не	11	2
67	что не	3	2
68	современной ему	2	2
69	с этой	3	2
70	то же	7	2
71	и через	3	2
72	быть может	3	2
73	к этому	3	2
74	и других	2	2
75	сводится к	2	2
76	что он	6	2
77	мы не	4	2
78	что на	2	2
79	у него	6	2
80	и по	2	2
81	но зато	3	2
82	в область	3	2
83	в этот	2	2
84	как и	6	2
85	на ранних	2	2
86	мы видим	4	2
87	так же	5	2
88	но это	5	2
89	он не	3	2
90	говорить о	2	2
91	в начале	3	2
92	и вообще	2	2
93	и мы	3	2
94	но ведь	2	2
95	о том	5	2
96	в самом	3	2
97	в своей	6	2
98	с ним	3	2
