N	2gram	Bakhtin_Fr_2	DiskursI
1	в себе	4	19
2	при этом	5	17
3	в качестве	2	16
4	и в	49	16
5	может быть	5	16
6	как и	11	16
7	в этом	15	16
8	и не	15	15
9	и т.п	11	12
10	то есть	32	12
11	в мире	2	11
12	но и	13	11
13	но в	4	11
14	том что	4	10
15	не только	17	10
16	такого рода	2	9
17	так и	6	9
18	не может	7	9
19	в том	3	8
20	прежде всего	19	7
21	в нем	9	7
22	ни в	3	7
23	но не	5	7
24	с его	5	6
25	еще не	2	6
26	все же	7	6
27	в своей	5	6
28	то же	7	6
29	в своих	4	6
30	в противоположность	2	5
31	что в	2	5
32	в своем	5	5
33	с другой	4	5
34	нового времени	4	5
35	же время	6	5
36	для него	9	5
37	то что	6	5
38	и на	17	5
39	в то	6	5
40	в одном	3	4
41	одного из	2	4
42	в пределах	2	4
43	одной стороны	3	4
44	как бы	11	4
45	этом отношении	3	4
46	с одной	3	4
47	роль в	5	4
48	точки зрения	6	4
49	в этой	10	4
50	о том	3	4
51	жизни в	3	3
52	могут быть	2	3
53	в этих	4	3
54	в них	13	3
55	из этих	5	3
56	и все	3	3
57	мире в	2	3
58	здесь в	6	3
59	можно сказать	2	3
60	в его	18	3
61	еще в	2	3
62	мире и	3	3
63	из них	3	3
64	жизни и	7	3
65	не было	4	3
66	все эти	7	3
67	также и	3	3
68	как на	4	3
69	и его	17	3
70	но это	2	3
71	в другом	2	3
72	только в	13	3
73	в творчестве	6	3
74	место в	3	2
75	содержит в	2	2
76	по словам	2	2
77	никогда не	5	2
78	не подлежит	2	2
79	это в	2	2
80	вследствие этого	2	2
81	что он	3	2
82	есть в	2	2
83	времени и	6	2
84	перед лицом	2	2
85	отношение к	8	2
86	с их	6	2
87	в формах	2	2
88	о чем	3	2
89	в первую	2	2
90	свое время	3	2
91	в ней	2	2
92	далеко не	3	2
93	в свое	4	2
94	с ее	3	2
95	с точки	5	2
96	вместе с	2	2
97	и прежде	2	2
98	именно в	6	2
99	на языке	2	2
100	по преимуществу	2	2
101	в себя	6	2
102	там же	2	2
103	все это	9	2
104	другой стороны	3	2
105	а в	4	2
106	тому как	2	2
107	их в	3	2
108	и с	6	2
109	подобно тому	2	2
110	и это	3	2
111	здесь не	2	2
112	но здесь	3	2
113	в области	4	2
