N	2gram	Losev_Dial_3	NovoeSre
1	а не	26	17
2	не может	19	16
3	и в	24	16
4	нового времени	2	12
5	и не	27	11
6	и есть	16	10
7	что в	7	9
8	истории и	4	9
9	жизни и	5	8
10	как не	2	8
11	он не	5	8
12	в том	5	8
13	не будет	3	7
14	как и	7	7
15	это есть	8	7
16	в этом	8	7
17	может быть	13	7
18	с его	2	6
19	никогда не	7	6
20	не знает	3	6
21	не в	3	6
22	но это	5	6
23	ни в	9	6
24	от бога	2	6
25	в нем	3	5
26	все это	6	5
27	и к	5	5
28	в ней	2	5
29	не только	23	5
30	не менее	11	4
31	то что	14	4
32	перестает быть	2	4
33	в них	5	4
34	это не	4	4
35	и все	6	4
36	не было	3	4
37	быть может	3	4
38	не имеет	11	4
39	и для	2	4
40	должно быть	3	4
41	потому что	7	4
42	прежде всего	8	4
43	о том	6	4
44	значит что	24	4
45	и потому	2	4
46	истории не	2	3
47	но и	9	3
48	не есть	54	3
49	не существует	10	3
50	верить в	2	3
51	должна быть	6	3
52	в истории	4	3
53	с другой	4	3
54	вопрос о	5	3
55	и пр	6	3
56	к тому	4	3
57	что такое	21	3
58	в основе	3	3
59	подобно тому	4	3
60	конечно не	4	3
61	она не	3	3
62	еще не	2	3
63	тому как	4	3
64	за пределы	3	3
65	история в	2	3
66	сказать что	4	3
67	не значит	3	3
68	это было	3	3
69	что все	14	2
70	я не	6	2
71	все время	3	2
72	себя в	2	2
73	у него	2	2
74	если нет	4	2
75	но она	3	2
76	в природе	2	2
77	бытия в	2	2
78	так и	5	2
79	что она	9	2
80	для этого	2	2
81	и формы	2	2
82	другой стороны	2	2
83	и от	3	2
84	мир и	3	2
85	мы говорим	2	2
86	а в	2	2
87	призыв к	2	2
88	я уже	7	2
89	с одной	3	2
90	все эти	3	2
91	думать что	2	2
92	уже не	5	2
93	нет и	4	2
94	одной стороны	3	2
95	зависит от	2	2
96	и даже	13	2
97	от всякого	5	2
98	хотя бы	4	2
99	но не	2	2
100	ни к	3	2
101	так же	4	2
102	по существу	2	2
103	это и	7	2
104	время как	4	2
105	мы не	5	2
106	том что	8	2
107	в смысле	2	2
108	есть в	3	2
109	же как	2	2
110	одна из	3	2
111	и с	6	2
112	и что	15	2
113	могут быть	2	2
114	с этим	3	2
115	и на	3	2
116	в себе	2	2
117	в то	5	2
118	и это	4	2
119	не имеют	2	2
120	истории мы	4	2
121	когда мы	2	2
122	мира и	3	2
123	как это	5	2
124	но для	2	2
125	хотя и	5	2
126	более не	2	2
127	но в	2	2
