N	2gram	Trubetskoy_1	VeschiIm
1	не есть	3	49
2	не может	22	33
3	не только	9	31
4	может быть	9	29
5	и не	19	28
6	и в	14	26
7	то что	13	24
8	и есть	2	23
9	и т	3	21
10	а не	2	20
11	не просто	2	18
12	только в	5	14
13	и что	2	13
14	того что	3	13
15	по себе	2	13
16	что это	3	12
17	было бы	5	12
18	но и	10	12
19	все же	4	12
20	и то	4	12
21	что же	4	11
22	таким образом	11	11
23	с нею	3	11
24	то же	11	10
25	уже не	2	10
26	в ней	2	10
27	как бы	4	10
28	потому что	5	10
29	что такое	2	10
30	в том	17	9
31	в самом	3	9
32	бы то	4	9
33	и с	7	9
34	прежде всего	8	9
35	то ни	4	9
36	себя и	5	8
37	на то	5	8
38	но это	2	8
39	в себе	9	8
40	совершенно не	2	7
41	– не	2	7
42	что оно	3	7
43	говорить о	3	7
44	в то	10	7
45	его в	4	7
46	так как	4	7
47	том что	9	7
48	есть и	2	7
49	указывает на	2	7
50	себя в	4	7
51	не будет	7	7
52	в этом	17	7
53	ли это	4	7
54	так что	2	6
55	и как	3	6
56	это есть	2	6
57	что они	3	6
58	что в	4	6
59	для него	6	6
60	но если	3	6
61	жизни и	4	6
62	со стороны	4	6
63	отличается от	2	6
64	и только	5	6
65	должно быть	3	6
66	в результате	2	6
67	точки зрения	11	6
68	но в	2	6
69	ясно что	2	6
70	она не	2	6
71	с ним	2	6
72	можно было	4	6
73	должна быть	2	5
74	не в	4	5
75	еще не	3	5
76	для этого	3	5
77	а в	5	5
78	что для	3	5
79	с тем	6	5
80	если бы	6	5
81	отнюдь не	7	5
82	одна из	3	5
83	но не	4	5
84	для себя	2	5
85	и для	6	5
86	на себя	2	5
87	ни от	2	5
88	можно ли	3	4
89	в своем	6	4
90	же время	10	4
91	из них	3	4
92	в их	4	4
93	точке зрения	3	4
94	от того	4	4
95	и даже	2	4
96	с этим	2	4
97	значило бы	2	4
98	о том	7	4
99	и более	2	4
100	то это	3	4
101	как и	4	4
102	так чтобы	3	4
103	во всех	5	4
104	и о	2	4
105	и потому	3	4
106	на почве	2	4
107	что и	3	4
108	быть и	2	4
109	даже не	2	4
110	этот вопрос	2	4
111	с точки	9	4
112	в данном	7	4
113	тем что	3	4
114	чтобы она	2	3
115	сама по	2	3
116	никогда не	5	3
117	но даже	2	3
118	вопрос о	5	3
119	к тому	7	3
120	несмотря на	3	3
121	более или	4	3
122	в нем	5	3
123	все это	6	3
124	отношения к	2	3
125	их в	2	3
126	раз навсегда	2	3
127	к себе	2	3
128	и ни	3	3
129	себя как	2	3
130	тогда когда	4	3
131	это учение	2	3
132	нисколько не	2	3
133	на это	2	3
134	даже и	2	3
135	что он	6	3
136	она может	3	3
137	по самому	2	3
138	в своей	5	3
139	вместе с	4	3
140	или менее	4	3
141	да и	3	3
142	только на	2	3
143	и тогда	2	3
144	а с	2	3
145	самом деле	7	3
146	того чтобы	8	3
147	хотя бы	5	3
148	с самим	2	3
149	может не	3	2
150	в частности	2	2
151	его и	2	2
152	тому что	2	2
153	а потому	5	2
154	ни в	2	2
155	и если	7	2
156	мы уже	2	2
157	но совершенно	2	2
158	и тем	2	2
159	но она	2	2
160	данном случае	3	2
161	мы говорили	3	2
162	и вот	2	2
163	так же	2	2
164	стоять на	2	2
165	в своих	6	2
166	что только	2	2
167	самого себя	7	2
168	мы можем	2	2
169	ни к	7	2
170	на такой	2	2
171	жизни в	5	2
172	и во	3	2
173	бы ни	2	2
174	о которых	3	2
175	то в	3	2
176	в силу	2	2
177	на этой	2	2
178	признать что	6	2
179	в качестве	3	2
180	себе и	4	2
181	для нее	2	2
182	он не	5	2
183	и этот	3	2
184	только к	3	2
185	приводит к	4	2
186	тогда как	2	2
187	если не	2	2
188	для того	6	2
189	к чему	2	2
190	во всяком	9	2
191	отношении к	2	2
192	если же	2	2
