N	2gram	Voloshinov_1	VeschiIm
1	не может	12	33
2	не только	27	31
3	может быть	13	29
4	и не	14	28
5	и в	38	26
6	то что	8	24
7	а не	6	20
8	не просто	2	18
9	и следовательно	5	15
10	только в	6	14
11	того что	4	13
12	что это	4	12
13	было бы	7	12
14	но и	13	12
15	сказать что	3	12
16	есть не	2	12
17	все же	7	12
18	и то	3	12
19	что же	8	11
20	таким образом	7	11
21	то же	14	10
22	уже не	4	10
23	в ней	8	10
24	как бы	28	10
25	и больше	2	10
26	потому что	5	10
27	что мы	11	10
28	что такое	4	10
29	в том	2	9
30	в самом	4	9
31	и с	5	9
32	прежде всего	21	9
33	еще и	2	9
34	иное как	2	8
35	но это	2	8
36	что иное	2	8
37	не что	4	8
38	в себе	9	8
39	и это	7	8
40	ничего не	8	8
41	совершенно не	3	7
42	что оно	3	7
43	также и	2	7
44	в то	9	7
45	его в	4	7
46	так как	7	7
47	том что	3	7
48	себя в	4	7
49	не будет	3	7
50	и их	5	7
51	и пр	4	7
52	с другими	2	7
53	в этом	10	7
54	как с	2	7
55	и как	9	6
56	но что	3	6
57	для него	3	6
58	жизни и	3	6
59	должно быть	2	6
60	точки зрения	10	6
61	когда мы	6	6
62	но в	5	6
63	ясно что	2	6
64	необходимо чтобы	3	6
65	одно и	4	6
66	относится к	2	6
67	бы и	2	6
68	если мы	4	6
69	с ним	2	6
70	можно было	4	6
71	ведь и	2	5
72	в отношении	2	5
73	это не	3	5
74	не в	6	5
75	свою очередь	4	5
76	еще не	3	5
77	а в	5	5
78	ни на	3	5
79	с тем	8	5
80	если бы	4	5
81	отнюдь не	10	5
82	в свою	6	5
83	в ее	3	5
84	у нас	4	5
85	но не	2	5
86	другими словами	7	5
87	и для	3	5
88	как только	4	4
89	независимо от	5	4
90	же время	7	4
91	из них	3	4
92	от того	3	4
93	и даже	3	4
94	с этим	2	4
95	о том	4	4
96	не существует	4	4
97	для всякого	2	4
98	и все	4	4
99	как и	10	4
100	во всех	6	4
101	и потому	2	4
102	нет и	3	4
103	должен быть	2	4
104	что и	3	4
105	слово и	3	4
106	этот вопрос	2	4
107	между ними	3	4
108	с точки	5	4
109	то или	4	4
110	мы не	9	4
111	тем что	2	4
112	никогда не	7	3
113	но даже	2	3
114	к данной	4	3
115	вопрос о	2	3
116	что именно	3	3
117	можно сказать	4	3
118	к тому	4	3
119	несмотря на	2	3
120	было в	4	3
121	и сам	2	3
122	в нем	4	3
123	отношение к	2	3
124	все это	4	3
125	внутри себя	2	3
126	отношения к	3	3
127	их в	3	3
128	но как	2	3
129	и ни	2	3
130	мы имеем	2	3
131	или как	6	3
132	же самой	2	3
133	общение в	2	3
134	на это	4	3
135	даже и	2	3
136	в одном	3	3
137	в жизни	2	3
138	один из	4	3
139	что он	2	3
140	мы видим	3	3
141	тот же	2	3
142	нужно было	2	3
143	в своей	2	3
144	вместе с	5	3
145	так и	6	3
146	понимание и	2	3
147	да и	4	3
148	только на	3	3
149	и тогда	2	3
150	а с	5	3
151	в той	5	3
152	самом деле	4	3
153	бы в	5	3
154	того чтобы	7	3
155	хотя бы	18	3
156	с самим	2	3
157	и вообще	2	3
158	ее с	2	3
159	вопроса о	4	3
160	в основе	2	3
161	понимания и	2	2
162	мы будем	6	2
163	же мы	5	2
164	в частности	3	2
165	его и	3	2
166	тому что	5	2
167	но все	4	2
168	и нет	2	2
169	какой-то смысл	2	2
170	кроме того	2	2
171	мы уже	10	2
172	в виду	3	2
173	быть понято	2	2
174	и тем	6	2
175	и уже	3	2
176	в первой	2	2
177	мы говорили	2	2
178	в разных	3	2
179	и вот	3	2
180	в слове	3	2
181	тех или	4	2
182	не мог	3	2
183	который мы	2	2
184	так же	4	2
185	что то	2	2
186	в своих	2	2
187	теперь же	2	2
188	но ведь	6	2
189	свое выражение	2	2
190	как это	5	2
191	то есть	4	2
192	мы можем	7	2
193	на него	4	2
194	ни к	2	2
195	от чего	2	2
196	если он	3	2
197	с собой	2	2
198	не с	3	2
199	в качестве	4	2
200	не нужно	2	2
201	себе и	2	2
202	это выражение	2	2
203	об этом	3	2
204	он не	2	2
205	и когда	2	2
206	как в	2	2
207	существует и	2	2
208	как нечто	2	2
209	общение и	2	2
210	если не	3	2
211	еще более	2	2
212	как мы	9	2
213	допустим что	2	2
214	для того	9	2
215	при всем	2	2
216	тем же	3	2
217	к чему	2	2
218	и его	7	2
219	той же	5	2
220	выражение в	3	2
221	же такое	2	2
