N	2gram	Bakhtin_Pr_5	StatiiOP
1	и в	35	29
2	том что	3	27
3	в том	5	27
4	в этом	14	21
5	но и	14	19
6	что в	6	19
7	не только	10	19
8	о том	2	17
9	что он	24	13
10	в его	21	13
11	то что	10	11
12	все это	14	11
13	в которой	2	11
14	к тому	6	10
15	таким образом	7	10
16	в своем	2	9
17	так и	8	9
18	и не	27	9
19	потому что	8	9
20	он не	13	9
21	как раз	4	8
22	но в	19	8
23	но все	4	7
24	с тем	3	7
25	в самом	6	7
26	в ней	2	7
27	в виду	3	7
28	в котором	3	7
29	я не	8	7
30	в своей	4	7
31	вместе с	2	7
32	тому что	2	7
33	в одном	6	6
34	вовсе не	7	6
35	вопрос о	2	6
36	все же	8	6
37	и что	6	6
38	и его	14	6
39	и на	6	6
40	прежде всего	12	5
41	в той	4	5
42	было бы	3	5
43	как бы	31	5
44	своего рода	2	5
45	а не	4	5
46	того что	3	5
47	между тем	4	5
48	точки зрения	7	5
49	времени и	2	4
50	а как	2	4
51	что у	6	4
52	с другой	4	4
53	того времени	2	4
54	не в	10	4
55	для него	14	4
56	если б	3	4
57	и к	12	4
58	хотя и	2	4
59	в нем	16	4
60	в речи	2	4
61	ничего не	3	4
62	в другом	12	4
63	еще до	2	4
64	и с	12	4
65	в общем	3	3
66	не менее	2	3
67	на вопрос	2	3
68	самого начала	8	3
69	что это	4	3
70	в этих	2	3
71	это слово	4	3
72	но он	4	3
73	вообще не	2	3
74	с этим	3	3
75	по себе	4	3
76	что на	2	3
77	ни в	2	3
78	не мог	3	3
79	тому же	3	3
80	так что	5	3
81	но это	6	3
82	в начале	3	3
83	обращает на	2	3
84	но не	6	3
85	до конца	4	3
86	кажется что	2	3
87	одной из	2	3
88	например в	2	3
89	материал для	2	3
90	наконец в	4	3
91	у меня	6	3
92	никогда не	4	3
93	и даже	5	3
94	всяком случае	4	3
95	из них	3	3
96	другой стороны	3	3
97	самом деле	10	3
98	как в	5	3
99	а с	3	3
100	тем что	4	3
101	с самого	8	3
102	на самом	9	3
103	и он	2	3
104	и по	2	3
105	ни одного	9	3
106	хотя бы	2	3
107	так же	7	3
108	связан с	2	3
109	во всяком	4	3
110	отношении к	7	3
111	на нее	2	3
112	в эту	4	3
113	в отношении	9	2
114	во время	5	2
115	отрывок из	2	2
116	с его	7	2
117	ни было	3	2
118	в роман	2	2
119	в них	4	2
120	что с	2	2
121	с этой	2	2
122	в одной	3	2
123	в конце	5	2
124	меня в	2	2
125	конечно в	2	2
126	что и	3	2
127	к своему	5	2
128	в ее	3	2
129	а затем	2	2
130	говорит о	2	2
131	как и	18	2
132	то ни	3	2
133	такое же	2	2
134	и как	2	2
135	из его	2	2
136	должна была	2	2
137	что я	13	2
138	что они	6	2
139	в то	11	2
140	по своему	4	2
141	о своей	3	2
142	и сам	7	2
143	раз в	2	2
144	на его	4	2
145	может быть	14	2
146	еще в	4	2
147	даже в	5	2
148	нет и	4	2
149	только в	6	2
150	бы то	3	2
151	только что	3	2
152	не может	18	2
153	то же	15	2
154	все эти	3	2
155	при этом	2	2
156	там где	7	2
157	в отличие	2	2
158	на этот	2	2
159	с точки	2	2
160	особенно в	2	2
161	где он	4	2
162	сказать что	3	2
163	эти слова	3	2
164	на меня	6	2
165	в себе	5	2
166	и вообще	2	2
167	его в	4	2
168	как он	2	2
169	и это	5	2
170	так как	4	2
171	только с	3	2
172	отличие от	2	2
173	это было	2	2
174	о мире	8	2
