N	2gram	Vygotskiy__1	SlovoVZh
1	не может	12	16
2	точки зрения	26	14
3	может быть	14	14
4	и его	6	13
5	как бы	11	13
6	таким образом	26	12
7	и в	23	12
8	в нашем	2	11
9	отношению к	7	11
10	по отношению	7	11
11	и не	9	10
12	если бы	5	9
13	так как	7	9
14	прежде всего	10	8
15	сказать что	11	7
16	все время	6	6
17	в процессе	8	6
18	при этом	4	6
19	с помощью	13	6
20	в том	24	6
21	только в	6	6
22	слова и	5	6
23	то что	17	5
24	никогда не	2	5
25	а не	3	5
26	можно сказать	5	5
27	то же	8	5
28	хотя бы	4	5
29	как и	14	5
30	том что	21	5
31	как в	4	5
32	что мы	5	5
33	и следовательно	3	5
34	но в	5	5
35	и к	4	4
36	все же	3	4
37	жизни и	2	4
38	так и	5	4
39	от того	6	4
40	с другой	10	4
41	уже не	2	4
42	как если	2	4
43	зависимости от	2	4
44	не в	4	4
45	в этом	17	4
46	и на	8	4
47	дело в	2	4
48	в самом	7	4
49	за пределы	2	4
50	не только	16	4
51	в котором	4	3
52	в них	2	3
53	и более	5	3
54	не к	2	3
55	когда он	2	3
56	в своей	4	3
57	сих пор	4	3
58	все это	6	3
59	все эти	4	3
60	ясно что	2	3
61	в такой	3	3
62	по себе	5	3
63	но и	14	3
64	и пр	2	3
65	того что	15	3
66	и наконец	2	3
67	ни в	4	3
68	он должен	2	3
69	так же	16	3
70	самом деле	3	3
71	мы не	7	3
72	и с	9	3
73	о том	6	3
74	нуждается в	2	3
75	в каком	3	3
76	и ее	7	3
77	в себе	6	3
78	для него	2	3
79	до сих	4	3
80	из этого	5	3
81	внутренней речи	9	3
82	между тем	9	3
83	уже в	3	2
84	с этой	6	2
85	с его	4	2
86	независимо от	6	2
87	но все	2	2
88	от всех	3	2
89	что в	14	2
90	на все	3	2
91	данном случае	2	2
92	вместе с	9	2
93	значения и	2	2
94	в зависимости	2	2
95	в этих	2	2
96	на него	2	2
97	не остается	3	2
98	между собой	5	2
99	в своем	3	2
100	в отношении	10	2
101	точку зрения	2	2
102	в какой	5	2
103	другой стороны	9	2
104	предметом исследования	3	2
105	и все	5	2
106	тогда когда	3	2
107	этих двух	3	2
108	речи в	14	2
109	с одной	8	2
110	к этому	4	2
111	и слово	2	2
112	и что	5	2
113	ко всем	3	2
114	едва ли	2	2
115	словом и	2	2
116	с точки	18	2
117	же самое	3	2
118	как на	4	2
119	и те	2	2
120	с другими	2	2
121	такой же	3	2
122	в данном	2	2
123	и то	3	2
124	мы можем	6	2
125	но не	4	2
126	почти исключительно	2	2
127	нашего сознания	3	2
128	могут быть	3	2
129	но тем	2	2
130	одно и	2	2
131	она не	3	2
132	в то	7	2
133	одной стороны	9	2
134	общения и	3	2
135	но этот	2	2
136	слова так	2	2
137	действия и	2	2
138	этого положения	2	2
139	к слову	6	2
140	на примере	2	2
141	как уже	7	2
142	там где	2	2
143	которые мы	2	2
144	в чем	4	2
145	как это	2	2
146	является для	2	2
147	ничего не	3	2
148	к его	2	2
149	он не	5	2
150	в его	14	2
151	и потому	2	2
152	между ними	2	2
