N	3gram	Tiupa_Anal_1	Narrotol
1	в том что	9	8
2	с одной стороны	3	7
3	в том числе	3	6
4	о том что	3	6
5	по отношению к	5	6
6	в отличие от	6	5
7	времени и пространстве	4	5
8	не может быть	16	5
9	и не в	4	4
10	той или иной	6	4
11	в данном случае	2	4
12	к тому же	4	4
13	во времени и	3	4
14	в основе своей	2	4
15	с другой стороны	2	4
16	то ни было	3	3
17	то же время	6	3
18	состоит в том	3	3
19	бы то ни	3	3
20	в этом отношении	2	3
21	в то же	8	3
22	сами по себе	2	2
23	значении этого слова	6	2
24	и представляет собой	3	2
25	в том или	2	2
26	том или ином	3	2
27	не что иное	4	2
28	мы имеем дело	4	2
29	в той или	3	2
30	что иное как	5	2
31	отнюдь не предполагает	2	2
32	не сводится к	2	2
33	в конечном счете	4	2
34	в первом случае	2	2
35	в таком случае	3	2
36	с точки зрения	4	2
37	подобно тому как	3	2
38	в этом ряду	2	2
39	а не в	3	2
40	того или иного	3	2
