N	2gram	Berdyaev_M_2	Dialekti
1	не есть	13	54
2	т е	4	48
3	и не	18	27
4	а не	13	26
5	точки зрения	2	25
6	и в	46	24
7	не только	18	23
8	по себе	2	20
9	не может	15	19
10	ничего не	2	17
11	и есть	8	16
12	это –	22	16
13	и что	2	15
14	что все	5	14
15	то что	5	14
16	может быть	21	13
17	что он	7	13
18	что это	6	12
19	того что	6	12
20	есть и	3	12
21	не имеет	4	11
22	что же	2	11
23	она есть	2	10
24	не существует	3	10
25	в сущности	2	10
26	ни в	3	9
27	но и	15	9
28	что она	5	9
29	нет ничего	3	9
30	есть не	5	9
31	прежде всего	12	8
32	так что	2	8
33	это есть	2	8
34	том что	4	8
35	в этом	20	8
36	что в	4	7
37	никогда не	18	7
38	и нет	3	7
39	он –	8	7
40	в самом	5	7
41	потому что	12	7
42	это и	3	7
43	как и	13	7
44	– не	3	7
45	иное как	3	6
46	я не	5	6
47	и с	3	6
48	что иное	3	6
49	о том	3	6
50	так как	8	6
51	если бы	3	6
52	превращается в	2	6
53	– в	2	6
54	и все	5	6
55	не что	3	6
56	оно не	2	6
57	что и	4	6
58	– это	2	6
59	то же	5	6
60	можно ли	3	5
61	всегда есть	2	5
62	в том	3	5
63	но это	8	5
64	есть явление	2	5
65	хотя и	2	5
66	жизни и	6	5
67	и его	5	5
68	в них	3	5
69	вопрос о	6	5
70	тогда когда	2	5
71	и к	7	5
72	есть ли	2	5
73	он не	10	5
74	так и	4	5
75	и тогда	3	5
76	уже не	4	5
77	что не	2	5
78	личности и	2	5
79	сам по	2	5
80	только в	3	5
81	тому что	4	4
82	это не	5	4
83	или иной	2	4
84	к тому	5	4
85	хотя бы	7	4
86	что есть	2	4
87	так же	6	4
88	сказать что	3	4
89	сознания и	2	4
90	если нет	8	4
91	у нас	11	4
92	от того	3	4
93	в чем	3	4
94	жизнь и	4	4
95	тому как	2	4
96	подобно тому	2	4
97	е в	2	4
98	и это	5	4
99	для него	18	4
100	что нет	3	4
101	быть может	2	3
102	не было	11	3
103	все время	2	3
104	в своем	8	3
105	и от	3	3
106	не в	9	3
107	есть в	3	3
108	она не	8	3
109	– есть	2	3
110	в основе	2	3
111	в нем	22	3
112	должно быть	2	3
113	друг друга	12	3
114	и на	3	3
115	во всем	5	3
116	мир и	2	3
117	не надо	2	3
118	тем что	3	3
119	есть еще	2	3
120	все что	4	3
121	но она	2	3
122	не будет	3	3
123	как бы	8	3
124	быть и	2	3
125	– все	2	3
126	для того	5	3
127	должны быть	4	3
128	к нему	2	3
129	той же	3	3
130	не знает	9	3
131	и этим	2	3
132	но на	2	2
133	же как	3	2
134	что у	4	2
135	– вот	2	2
136	в который	2	2
137	и можно	3	2
138	лишь как	3	2
139	на этом	2	2
140	тогда все	2	2
141	и если	2	2
142	есть также	2	2
143	но для	2	2
144	не о	2	2
145	себя и	3	2
146	не имеют	2	2
147	для этого	4	2
148	только и	4	2
149	и вот	5	2
150	они не	4	2
151	его не	2	2
152	а в	2	2
153	же и	2	2
154	в своих	3	2
155	в мысли	2	2
156	людей и	3	2
157	также и	4	2
158	в ней	11	2
159	и здесь	6	2
160	от его	2	2
161	и потому	7	2
162	бы в	2	2
163	есть момент	2	2
164	нет ни	2	2
165	но в	10	2
166	я и	2	2
167	а для	2	2
168	с его	4	2
169	у него	22	2
170	бы его	2	2
171	и во	3	2
172	личности в	2	2
173	думать что	4	2
174	то в	2	2
175	если я	2	2
176	бога не	4	2
177	себя в	4	2
178	ее в	2	2
179	все равно	3	2
180	и она	3	2
181	и он	11	2
182	и для	7	2
183	нас в	2	2
184	в себе	10	2
185	его на	4	2
186	души и	2	2
187	в его	5	2
