N	2gram	Potebnia_M_2	Dialekti
1	не есть	6	47
2	и не	19	30
3	может быть	23	20
4	и в	24	19
5	не только	15	19
6	по себе	15	18
7	и т	6	17
8	а не	18	16
9	т д	3	15
10	в себе	10	15
11	то что	20	14
12	что она	3	14
13	в том	18	14
14	как бы	9	14
15	так как	10	14
16	потому что	49	14
17	вовсе не	9	13
18	но и	9	12
19	то же	12	12
20	и все	3	12
21	что это	3	10
22	как и	7	10
23	и как	6	10
24	в нем	9	10
25	так и	5	10
26	том что	8	10
27	это не	3	10
28	сказать что	2	10
29	стало быть	4	10
30	никогда не	4	9
31	по крайней	5	9
32	крайней мере	5	9
33	она есть	2	9
34	не может	12	9
35	прежде всего	7	8
36	есть нечто	3	8
37	не в	13	8
38	в этом	8	8
39	сама по	2	7
40	в душе	23	7
41	есть не	5	7
42	как это	2	7
43	но это	3	7
44	но что	2	7
45	что в	16	7
46	только тогда	3	7
47	и притом	3	7
48	должно быть	2	7
49	время как	4	7
50	и то	3	7
51	так что	10	7
52	что он	4	6
53	что не	5	6
54	что они	5	6
55	в то	6	6
56	но не	12	6
57	того что	7	6
58	и может	3	6
59	и вообще	3	6
60	тогда когда	10	6
61	с другой	6	5
62	же время	2	5
63	в самом	4	5
64	и следовательно	2	5
65	и потому	2	5
66	что и	11	5
67	и это	2	5
68	в одно	8	5
69	и что	4	5
70	только что	3	5
71	и его	2	5
72	только в	11	5
73	о том	5	5
74	не то	2	5
75	уже в	5	4
76	независимо от	9	4
77	и есть	2	4
78	в одном	6	4
79	не могут	7	4
80	все же	5	4
81	при этом	13	4
82	то время	4	4
83	одно и	2	4
84	еще не	4	4
85	и если	4	4
86	за пределы	2	4
87	хотя бы	2	4
88	связи с	6	4
89	ни с	2	4
90	от того	5	4
91	все это	2	4
92	во времени	2	4
93	другой стороны	2	4
94	в связи	2	4
95	и только	6	4
96	том смысле	4	4
97	таким образом	11	4
98	что оно	4	4
99	самом деле	2	4
100	и по	2	4
101	есть только	6	4
102	а в	8	4
103	в таком	4	4
104	одно из	3	4
105	могут быть	8	4
106	но он	2	4
107	в каком	3	4
108	в другом	2	4
109	как он	4	4
110	с ним	5	4
111	сам по	4	3
112	не менее	5	3
113	и уже	5	3
114	всех этих	2	3
115	в этих	3	3
116	и от	3	3
117	с нею	2	3
118	вопрос о	2	3
119	а только	8	3
120	но только	2	3
121	уже не	4	3
122	одно время	4	3
123	не понятно	2	3
124	что если	6	3
125	только как	6	3
126	было бы	13	3
127	или нет	3	3
128	себе не	4	3
129	сами по	7	3
130	из них	5	3
131	и их	5	3
132	и тогда	3	3
133	мы говорим	3	3
134	с этим	7	3
135	не было	6	3
136	мы находим	2	3
137	должны быть	4	3
138	что такое	2	3
139	между собою	7	3
140	они не	4	3
141	его с	2	3
142	о котором	2	3
143	его в	3	3
144	таком случае	2	3
145	когда мы	2	3
146	то не	3	3
147	в чем	7	3
148	это было	2	3
149	быть только	2	2
150	зависит от	2	2
151	самого начала	2	2
152	само по	2	2
153	другого рода	2	2
154	время и	2	2
155	этих последних	2	2
156	от их	4	2
157	что у	2	2
158	в какой	2	2
159	в состоянии	6	2
160	человека и	3	2
161	на самом	2	2
162	не должно	2	2
163	ощущение боли	2	2
164	но мы	3	2
165	если мы	3	2
166	то это	3	2
167	этого последнего	3	2
168	что на	3	2
169	тем не	6	2
170	же в	5	2
171	только потому	2	2
172	с самого	2	2
173	но все	2	2
174	мы видим	2	2
175	с тем	4	2
176	или менее	8	2
177	очевидно что	3	2
178	что с	2	2
179	потом уже	2	2
180	до сих	4	2
181	в общем	2	2
182	мы в	3	2
183	в ней	3	2
184	всяком случае	7	2
185	если в	3	2
186	оно должно	3	2
187	сих пор	4	2
188	остается только	2	2
189	на все	3	2
190	как не	3	2
191	во всех	7	2
192	в некоторых	4	2
193	на него	3	2
194	в каждом	2	2
195	разница между	2	2
196	тому что	2	2
197	так же	2	2
198	не на	2	2
199	что есть	2	2
200	не во	2	2
201	т п	3	2
202	например в	3	2
203	того как	7	2
204	с одной	4	2
205	как в	10	2
206	и они	2	2
207	а потому	5	2
208	с первого	2	2
209	более или	8	2
210	тем же	3	2
211	его не	3	2
212	также что	2	2
213	или в	2	2
214	с ними	3	2
215	их в	2	2
216	и при	3	2
217	бы ни	5	2
218	между тем	6	2
219	не как	3	2
220	тем что	7	2
221	во время	4	2
222	во все	2	2
223	или не	5	2
224	что мы	11	2
225	или по	2	2
226	мы должны	2	2
227	во всяком	7	2
228	все эти	2	2
229	есть в	2	2
230	души и	4	2
231	и человек	3	2
232	в которой	5	2
233	которые не	3	2
234	но в	4	2
235	взгляда на	2	2
236	в жизни	2	2
237	том как	3	2
238	вместе с	11	2
239	на этом	2	2
