N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	37
2	и в	16	30
3	в том	8	27
4	что в	9	24
5	и что	2	23
6	потому что	4	23
7	том что	2	21
8	все время	2	20
9	того чтобы	2	20
10	и мы	4	16
11	не только	5	16
12	в этом	7	14
13	так же	2	13
14	одной стороны	2	12
15	вместе с	2	12
16	с одной	2	12
17	может быть	7	11
18	о том	4	10
19	никогда не	6	9
20	с другой	3	9
21	для этого	2	9
22	не может	16	9
23	сказать что	3	9
24	с тем	3	8
25	к тому	3	8
26	не в	6	8
27	а не	17	8
28	могут быть	2	8
29	и это	2	8
30	в нем	5	7
31	но не	2	7
32	как это	2	7
33	в основе	3	7
34	что она	2	6
35	как и	7	6
36	и для	4	6
37	но и	3	6
38	что все	2	6
39	и не	11	6
40	жизни и	8	6
41	как будто	2	6
42	когда мы	2	6
43	и есть	10	5
44	и потому	4	5
45	еще не	3	5
46	другой стороны	2	5
47	в себе	2	5
48	но в	2	5
49	и все	4	4
50	прежде всего	4	4
51	и заключается	2	4
52	и к	5	4
53	в своей	3	4
54	в ней	5	4
55	в них	4	4
56	не есть	3	4
57	а в	2	4
58	не могли	2	4
59	не существует	3	3
60	у него	2	3
61	хотя бы	2	3
62	это не	4	3
63	формы и	2	3
64	вопрос о	3	3
65	это есть	7	3
66	одна из	2	3
67	он не	8	3
68	в ее	3	3
69	ни в	6	3
70	так и	2	3
71	как в	3	3
72	времени и	2	3
73	мы не	2	3
74	можно было	2	3
75	и на	2	3
76	с его	6	2
77	же как	2	2
78	с этим	2	2
79	этом смысле	2	2
80	по существу	2	2
81	должна быть	3	2
82	в центре	2	2
83	том чтобы	2	2
84	должен быть	5	2
85	для чего	2	2
86	во всех	3	2
87	все это	5	2
88	это и	2	2
89	и даже	2	2
90	должно быть	4	2
91	время как	2	2
92	и с	2	2
93	совсем не	12	2
94	в то	2	2
95	не знает	6	2
96	том и	2	2
97	все эти	2	2
98	но она	2	2
