N	2gram	Losev_Vlad_2	KulturaY
1	в том	18	30
2	и в	30	24
3	потому что	9	23
4	том что	12	21
5	что в	12	17
6	того чтобы	2	17
7	для того	2	16
8	было бы	9	15
9	в этом	20	14
10	точки зрения	7	14
11	может быть	7	13
12	все же	9	12
13	таким образом	3	12
14	в его	11	12
15	и не	18	12
16	не в	9	11
17	только в	6	11
18	вовсе не	4	10
19	в самом	2	10
20	у нас	6	10
21	не только	12	10
22	хотя бы	3	10
23	то что	20	9
24	прежде всего	6	9
25	того что	5	9
26	с точки	3	9
27	о том	4	9
28	так как	5	9
29	том чтобы	2	8
30	то же	4	8
31	уже не	3	8
32	а не	7	8
33	не менее	7	7
34	в них	3	7
35	связи с	8	7
36	как бы	5	7
37	вместе с	8	7
38	не может	9	7
39	это не	2	7
40	в области	3	7
41	так и	5	7
42	тогда когда	2	6
43	именно в	4	6
44	что он	13	6
45	при этом	5	6
46	в ней	4	6
47	но и	8	6
48	что же	8	6
49	все это	5	6
50	можно было	2	6
51	все эти	5	6
52	в которой	4	6
53	еще и	6	5
54	с тем	2	5
55	что это	4	5
56	по крайней	4	5
57	к тому	2	5
58	крайней мере	4	5
59	но не	3	5
60	что не	2	5
61	всяком случае	6	5
62	и что	5	5
63	но уже	2	5
64	в виду	2	5
65	в той	2	5
66	а в	11	5
67	и его	6	5
68	в результате	5	5
69	во всяком	6	5
70	с ним	5	5
71	и с	14	5
72	учение о	3	4
73	с его	4	4
74	в частности	2	4
75	в этих	4	4
76	же касается	5	4
77	и потому	2	4
78	что эти	2	4
79	на то	2	4
80	в нем	4	4
81	же в	2	4
82	по существу	3	4
83	того же	5	4
84	что и	3	4
85	не есть	4	4
86	тем не	6	4
87	в целом	4	4
88	со стороны	4	4
89	как в	3	4
90	не на	2	4
91	с этим	5	4
92	того как	2	4
93	так что	5	4
94	так же	4	4
95	и на	4	4
96	в данном	3	4
97	из этих	3	4
98	в русском	2	4
99	под влиянием	3	3
100	уже в	3	3
101	нисколько не	2	3
102	если не	2	3
103	казалось бы	2	3
104	уже и	2	3
105	то это	4	3
106	можно сказать	4	3
107	только тогда	2	3
108	в этой	4	3
109	свою очередь	2	3
110	меня и	2	3
111	в свою	3	3
112	и может	2	3
113	в общем	2	3
114	и если	4	3
115	гораздо более	2	3
116	в сущности	2	3
117	а а	3	3
118	в котором	5	3
119	даже в	2	3
120	на его	4	3
121	или менее	3	3
122	в своем	8	3
123	в связи	8	3
124	не было	10	3
125	только и	3	3
126	в их	2	3
127	более или	3	3
128	и даже	10	3
129	и он	4	3
130	в таком	3	3
131	несмотря на	4	3
132	должно быть	3	3
133	той же	4	3
134	и то	5	3
135	хотя и	6	3
136	даже и	3	3
137	себе в	2	3
138	в себе	6	3
139	здесь не	4	3
140	а это	3	3
141	как это	7	3
142	я не	4	2
143	о чем	6	2
144	и есть	2	2
145	никогда не	7	2
146	с этой	4	2
147	и все	7	2
148	что касается	3	2
149	этого не	2	2
150	так или	3	2
151	по себе	5	2
152	быть в	3	2
153	разумеется что	2	2
154	в то	9	2
155	для нас	7	2
156	что его	4	2
157	как и	5	2
158	и как	3	2
159	но все	2	2
160	можно говорить	3	2
161	и при	2	2
162	в москве	6	2
163	что если	2	2
164	а то	2	2
165	же время	3	2
166	тот же	5	2
167	в это	4	2
168	уже на	3	2
169	и мы	4	2
170	конечно не	4	2
171	между прочим	7	2
172	в своей	5	2
173	очень много	2	2
174	том же	3	2
175	никак не	3	2
176	же и	2	2
177	о нем	2	2
178	себе и	2	2
179	тем более	3	2
180	еще один	2	2
181	ни в	7	2
182	не говоря	3	2
183	был в	2	2
184	а именно	6	2
185	он не	4	2
186	и для	3	2
187	как я	2	2
188	не мог	8	2
189	на этот	4	2
190	не имеет	2	2
191	во многих	2	2
192	когда мы	3	2
193	или иначе	3	2
194	не столько	3	2
195	также и	6	2
196	которое в	2	2
197	в более	2	2
198	из письма	2	2
199	что можно	3	2
200	что я	3	2
201	на эту	2	2
202	заключается в	2	2
203	но вот	3	2
204	иной раз	2	2
205	до конца	7	2
206	ничего не	2	2
207	но в	8	2
208	это было	4	2
