N	2gram	Voloshinov_1	Formalny
1	и в	13	24
2	художественного произведения	5	23
3	в его	7	23
4	прежде всего	9	22
5	и не	8	20
6	так и	3	18
7	и пр	7	17
8	не может	8	16
9	точки зрения	7	16
10	в этом	2	15
11	в нем	2	14
12	может быть	8	14
13	с точки	5	13
14	таким образом	6	13
15	истории литературы	2	12
16	не менее	2	11
17	как и	3	11
18	в своей	4	11
19	в их	3	11
20	вовсе не	2	10
21	и ее	2	10
22	литературное произведение	2	10
23	и их	7	10
24	то же	4	10
25	в ней	2	10
26	а не	2	10
27	и его	12	10
28	формальный метод	2	9
29	в процессе	5	9
30	все это	4	9
31	в ее	3	8
32	то что	6	8
33	как в	2	8
34	лишь в	4	8
35	не в	3	8
36	не только	6	7
37	но и	3	7
38	и все	3	6
39	было бы	4	6
40	в том	2	6
41	самом деле	3	6
42	в пределах	3	6
43	как бы	6	6
44	метода в	5	6
45	в целом	2	6
46	художественное произведение	2	6
47	входит в	2	6
48	а в	2	6
49	все эти	2	6
50	форм и	2	6
51	социального общения	6	6
52	хотя бы	5	5
53	в искусстве	3	5
54	социологический метод	2	5
55	при этом	2	5
56	и др	2	5
57	в самом	2	5
58	с другой	2	5
59	и истории	2	5
60	но в	4	5
61	никогда не	3	4
62	не как	3	4
63	художественных произведений	2	4
64	социальной группы	4	4
65	и к	2	4
66	учение о	2	4
67	одной стороны	2	4
68	и может	2	4
69	литературного произведения	2	4
70	если бы	2	4
71	отношению к	3	4
72	так же	2	4
73	по отношению	3	4
74	в связи	2	4
75	что в	3	4
76	с одной	2	4
77	только и	4	4
78	в которой	3	4
79	с этой	2	4
80	в отношении	2	3
81	поэтического произведения	3	3
82	материала и	3	3
83	в них	2	3
84	или иного	2	3
85	с помощью	2	3
86	к тому	2	3
87	для него	2	3
88	зависимости от	2	3
89	в каждом	4	3
90	в общем	2	3
91	на язык	2	3
92	но для	3	3
93	все же	5	3
94	и отчасти	2	3
95	на фоне	4	3
96	мы не	4	3
97	и наконец	5	3
98	наконец в	2	3
99	материала в	4	3
100	от всех	2	3
101	более того	2	3
102	в себе	3	3
103	со всей	3	3
104	думать что	2	3
105	бы в	2	3
106	в области	2	3
107	того или	2	2
108	а как	2	2
109	в зависимости	2	2
110	каждый элемент	2	2
111	она является	2	2
112	с этим	3	2
113	в одном	3	2
114	только в	6	2
115	в действительности	2	2
116	беспредметных искусств	2	2
117	общения и	2	2
118	вполне понятно	4	2
119	и является	2	2
120	художественного общения	4	2
121	за пределы	3	2
122	еще в	2	2
123	во всей	2	2
124	не на	2	2
125	между тем	2	2
126	от этого	2	2
127	чем же	2	2
128	литературной школы	2	2
129	в своих	2	2
130	но ведь	5	2
131	в произведении	2	2
132	во всем	2	2
133	и должно	2	2
134	произведения как	4	2
