N	2gram	Bakhtin_Pr_1	Sovremen
1	не может	12	17
2	точки зрения	19	12
3	может быть	24	12
4	таким образом	12	11
5	в каждом	8	8
6	в этом	22	7
7	и в	29	7
8	и не	31	6
9	как и	12	6
10	в результате	4	6
11	ничего не	5	6
12	что же	4	5
13	прежде всего	7	5
14	все эти	9	5
15	и наконец	4	5
16	с точки	13	5
17	в условиях	2	5
18	как бы	19	4
19	в целом	6	4
20	жизни и	2	4
21	в зависимости	5	4
22	это не	9	4
23	а в	7	4
24	вопрос о	2	4
25	не только	15	4
26	в том	8	4
27	их в	4	4
28	точку зрения	6	4
29	мы должны	3	4
30	зависимости от	5	4
31	так как	6	4
32	уже в	3	3
33	самого начала	2	3
34	все же	9	3
35	он может	3	3
36	все это	6	3
37	отличается от	3	3
38	в конце	6	3
39	то же	14	3
40	в нем	19	3
41	а не	22	3
42	и к	2	3
43	не в	7	3
44	в этой	4	3
45	одна из	3	3
46	еще не	5	3
47	он в	3	3
48	всех элементов	2	3
49	при этом	2	3
50	было бы	5	3
51	в одном	10	3
52	в себе	7	3
53	что она	6	3
54	но в	7	3
55	и потому	6	3
56	ведь это	2	3
57	так сказать	4	2
58	не могут	6	2
59	и есть	2	2
60	для его	3	2
61	у него	5	2
62	на котором	3	2
63	приводит к	3	2
64	то и	2	2
65	и во	2	2
66	или же	2	2
67	из одного	4	2
68	как мы	4	2
69	уже не	13	2
70	самом деле	6	2
71	и что	2	2
72	и пр	3	2
73	из которых	2	2
74	на этот	2	2
75	и даже	2	2
76	той же	5	2
77	то ни	2	2
78	мы видим	2	2
79	но все	5	2
80	во всяком	5	2
81	могут быть	6	2
82	с этим	2	2
83	что в	8	2
84	не дает	3	2
85	тот же	2	2
86	в один	2	2
87	если же	3	2
88	на его	2	2
89	в самом	10	2
90	друг с	2	2
91	в которой	2	2
92	в его	24	2
93	всяком случае	3	2
94	все те	2	2
