N	2gram	Propp_Russ_2	Analitik
1	не только	10	22
2	тогда как	2	20
3	и в	29	18
4	как и	11	14
5	в этом	11	14
6	но и	8	13
7	том что	22	12
8	в качестве	3	12
9	при этом	6	11
10	а в	9	10
11	как бы	18	10
12	может быть	13	9
13	что в	22	9
14	а не	4	9
15	в том	22	9
16	с другой	2	7
17	но не	5	7
18	не в	4	6
19	еще не	6	6
20	в этой	3	6
21	в их	2	6
22	о том	9	6
23	никогда не	2	5
24	прежде всего	2	5
25	что и	2	5
26	а а	8	5
27	уже не	4	5
28	между тем	3	5
29	мы имеем	6	5
30	представляет собой	2	5
31	не менее	2	4
32	о чем	4	4
33	состоит в	15	4
34	и как	2	4
35	все же	2	4
36	а и	2	4
37	таким образом	6	4
38	и на	6	4
39	в данном	6	4
40	далеко не	4	4
41	что по	4	4
42	не столько	2	3
43	из этих	2	3
44	к этому	5	3
45	не всегда	3	3
46	в ее	3	3
47	было бы	3	3
48	к жизни	5	3
49	дело не	2	3
50	данном случае	7	3
51	как в	7	3
52	все это	10	3
53	так в	2	3
54	и е	2	3
55	то же	4	3
56	не было	2	3
57	именно в	4	3
58	в году	3	3
59	мы не	6	3
60	пока еще	2	3
61	с этим	2	3
62	подобно тому	3	3
63	во всем	2	3
64	в то	2	3
65	жизнь и	2	3
66	его в	8	3
67	как это	4	3
68	могут быть	2	2
69	все эти	3	2
70	в них	4	2
71	это не	5	2
72	и от	3	2
73	совершенно очевидно	2	2
74	как уже	2	2
75	и ее	2	2
76	тем не	2	2
77	же в	6	2
78	говорит о	2	2
79	одна из	11	2
80	с тем	6	2
81	очевидно что	2	2
82	в глаза	2	2
83	одной стороны	2	2
84	это и	2	2
85	совершенно не	2	2
86	об этом	2	2
87	а также	4	2
88	к числу	2	2
89	один из	2	2
90	не с	2	2
91	то что	5	2
92	во всех	3	2
93	вместе с	6	2
94	что она	3	2
95	связь с	3	2
96	в форме	2	2
97	не может	5	2
98	в отличие	3	2
99	с одной	2	2
100	и по	3	2
101	и для	2	2
102	после чего	2	2
103	тому как	3	2
104	в момент	2	2
105	тем что	3	2
106	на себя	2	2
107	на эту	2	2
108	и все	4	2
109	там где	2	2
110	когда мы	2	2
111	отличие от	3	2
112	но в	5	2
