N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	22
2	в том	4	11
3	не только	4	10
4	из них	4	10
5	как и	6	9
6	может быть	12	9
7	в одном	3	8
8	таким образом	11	8
9	и не	6	8
10	в этой	3	7
11	что в	2	6
12	в конце	3	6
13	такого рода	2	6
14	и по	2	6
15	то же	3	6
16	не в	3	6
17	а в	4	6
18	в которой	2	6
19	уже в	3	5
20	прежде всего	5	5
21	при этом	3	5
22	в его	2	5
23	на его	2	5
24	все это	3	5
25	и даже	2	5
26	ясно что	3	4
27	как мы	2	4
28	в нем	3	4
29	в результате	6	4
30	точки зрения	12	4
31	так как	4	4
32	но в	3	4
33	мы можем	6	4
34	не менее	2	3
35	вопрос о	4	3
36	у нас	3	3
37	тот же	2	3
38	у него	2	3
39	все же	3	3
40	в целом	4	3
41	с одной	2	3
42	мы не	9	3
43	в этом	7	3
44	в виде	2	3
45	могут быть	2	3
46	и все	3	3
47	ничего не	6	3
48	времени и	2	2
49	поэтому мы	3	2
50	то ни	2	2
51	и во	2	2
52	в свою	2	2
53	тем не	2	2
54	мы знаем	2	2
55	мы видели	4	2
56	такой же	2	2
57	одна из	3	2
58	на этом	2	2
59	как известно	2	2
60	еще не	3	2
61	было бы	3	2
62	в самом	2	2
63	всяком случае	2	2
64	только один	2	2
65	на две	3	2
66	вместе с	4	2
67	то и	2	2
68	не может	17	2
69	в и	2	2
70	из которых	2	2
71	во всяком	2	2
72	в себе	3	2
73	же самое	2	2
74	отличие от	2	2
75	в области	3	2
