N	2gram	Losev_Prob_4	Literetu
1	а не	7	20
2	и в	20	19
3	может быть	9	17
4	в стихотворении	2	13
5	то же	7	12
6	и не	28	11
7	в том	20	10
8	как и	6	10
9	но и	14	10
10	такого рода	7	9
11	не может	5	9
12	в этом	9	9
13	в то	4	9
14	с другой	7	8
15	не только	24	8
16	и даже	9	8
17	том что	12	7
18	то что	15	7
19	так и	10	7
20	не менее	10	6
21	однако в	2	6
22	в себе	12	6
23	при этом	6	6
24	себя в	2	6
25	и на	3	6
26	для всех	3	5
27	столь же	2	5
28	у нас	14	5
29	но не	5	5
30	в качестве	10	5
31	он не	2	5
32	вместе с	5	5
33	то есть	27	5
34	что в	3	4
35	в частности	2	4
36	жизни в	2	4
37	прежде всего	11	4
38	не в	13	4
39	отнюдь не	10	4
40	того же	2	4
41	для него	3	4
42	в ней	7	4
43	в его	3	4
44	жизни и	5	4
45	человека в	3	4
46	так что	6	4
47	другой стороны	6	4
48	мы не	7	4
49	тем что	3	4
50	точки зрения	14	4
51	едва ли	10	4
52	в области	3	4
53	перестает быть	2	3
54	о себе	3	3
55	что он	8	3
56	в нем	5	3
57	и как	3	3
58	но это	6	3
59	в начале	3	3
60	в этой	4	3
61	и он	2	3
62	этот путь	2	3
63	во всех	4	3
64	том чтобы	2	3
65	вплоть до	3	3
66	данном случае	5	3
67	себе и	3	3
68	а именно	2	3
69	то и	5	3
70	и для	4	3
71	так как	5	3
72	тем самым	4	3
73	с точки	11	3
74	а в	4	3
75	и его	10	3
76	и то	2	3
77	и с	7	3
78	в данном	6	3
79	в другом	3	3
80	уже в	4	2
81	не было	3	2
82	ни было	2	2
83	с тем	4	2
84	в нашем	12	2
85	не является	10	2
86	для этого	2	2
87	в них	5	2
88	в какой	4	2
89	по крайней	6	2
90	в конце	2	2
91	в виду	6	2
92	в одном	4	2
93	в жизни	3	2
94	вовсе не	21	2
95	и каждый	2	2
96	и к	3	2
97	а также	6	2
98	крайней мере	6	2
99	для нас	6	2
100	в ее	5	2
101	тем не	10	2
102	и без	6	2
103	тот же	2	2
104	еще не	7	2
105	было бы	14	2
106	со своей	2	2
107	нет в	2	2
108	не так	3	2
109	одной из	4	2
110	нам представляется	2	2
111	свидетельствует о	2	2
112	как бы	4	2
113	не вполне	2	2
114	для себя	2	2
115	говоря уже	2	2
116	что и	3	2
117	все же	2	2
118	с ее	2	2
119	и т	4	2
120	же в	4	2
121	не к	2	2
122	из них	3	2
123	по преимуществу	2	2
124	в истории	3	2
125	не говоря	3	2
126	как раз	4	2
127	и только	4	2
128	не раз	2	2
129	все равно	3	2
130	к своему	2	2
131	но только	2	2
132	уже не	5	2
133	и что	2	2
134	для того	3	2
135	что не	4	2
136	из которых	3	2
137	и наконец	4	2
138	хотя бы	7	2
139	в сравнении	2	2
140	друг друга	2	2
141	сравнении с	2	2
142	то в	2	2
143	в результате	8	2
144	потому что	15	2
145	даже и	13	2
146	но как	3	2
147	о том	5	2
148	произведения искусства	2	2
149	в художественном	4	2
150	в каждой	3	2
151	а если	3	2
152	как это	3	2
153	с ним	4	2
154	но в	8	2
