N	2gram	Tiupa_Anal_3	EvropaiC
1	таким образом	4	32
2	в том	9	31
3	и в	18	24
4	том что	12	20
5	все эти	2	19
6	не может	2	18
7	то что	2	17
8	может быть	9	15
9	все же	4	15
10	точки зрения	3	13
11	в своем	4	12
12	самом деле	2	12
13	в этом	14	12
14	все это	3	11
15	между тем	5	11
16	с этим	3	11
17	отношению к	7	10
18	как бы	10	10
19	по отношению	7	10
20	во всех	2	10
21	так и	14	10
22	при этом	11	9
23	в результате	5	9
24	как и	14	9
25	того же	5	9
26	что в	9	9
27	не в	6	8
28	в самом	5	8
29	и все	2	8
30	а и	4	8
31	с точки	2	8
32	не менее	4	7
33	к тому	6	7
34	но и	13	7
35	и не	12	7
36	из этих	3	7
37	по своей	2	7
38	о том	6	7
39	что он	4	7
40	о которых	2	7
41	все они	2	6
42	с другой	7	6
43	в этой	6	6
44	в общем	2	6
45	несмотря на	2	6
46	и на	4	6
47	что касается	3	6
48	еще не	6	6
49	что и	5	6
50	тогда как	20	6
51	в мире	5	6
52	мы можем	2	6
53	только в	2	6
54	вместе с	2	6
55	именно в	3	5
56	и без	3	5
57	столь же	4	5
58	и от	2	5
59	тому же	3	5
60	в целом	3	5
61	другой стороны	5	5
62	как к	2	5
63	его в	3	5
64	но в	2	5
65	к этому	3	5
66	и к	4	5
67	в то	3	5
68	по своему	2	5
69	в его	7	5
70	не только	22	5
71	не будет	3	5
72	и для	2	5
73	лишь в	5	5
74	в себе	2	5
75	далеко не	4	5
76	никогда не	5	4
77	в конце	5	4
78	тем не	2	4
79	в дальнейшем	2	4
80	хотя и	2	4
81	в их	6	4
82	иначе говоря	2	4
83	он не	6	4
84	не есть	4	4
85	совершенно не	2	4
86	то же	3	4
87	и т.д	2	4
88	с одной	2	3
89	одного и	3	3
90	в тех	2	3
91	очевидно что	2	3
92	в нем	2	3
93	данном случае	3	3
94	и по	2	3
95	а в	10	3
96	это не	2	3
97	в начале	6	3
98	что мы	2	3
99	и потому	2	3
100	с тем	2	3
101	прежде всего	5	3
102	в жизни	2	3
103	и того	3	3
104	во всем	3	3
105	даже в	2	3
106	жизнь и	3	3
107	что по	4	3
108	в данном	4	3
109	отличие от	2	3
110	свою очередь	4	2
111	в частности	12	2
112	сводится к	2	2
113	для него	6	2
114	что они	3	2
115	что несмотря	2	2
116	же время	3	2
117	в свою	5	2
118	одной стороны	2	2
119	и сам	4	2
120	ни для	2	2
121	в ней	2	2
122	всяком случае	2	2
123	с ее	3	2
124	по его	3	2
125	что она	2	2
126	те же	2	2
127	во втором	4	2
128	от своей	2	2
129	в глазах	2	2
130	одну из	2	2
131	но как	3	2
132	говорить о	3	2
133	не было	3	2
134	во всяком	2	2
135	то есть	10	2
136	а для	2	2
137	только не	3	2
138	отнюдь не	4	2
139	в них	2	2
140	гораздо более	2	2
141	то в	2	2
142	одна из	2	2
143	но не	7	2
144	приобщения к	2	2
145	было бы	3	2
146	со своей	8	2
147	не от	2	2
148	в сущности	5	2
149	в точке	2	2
150	однако при	2	2
151	но с	2	2
152	одной и	2	2
153	в себя	2	2
154	о которой	2	2
155	тем самым	4	2
156	не более	2	2
157	и ее	2	2
158	этого слова	2	2
