N	2gram	Vinokur_St_1	Myshleni
1	в том	36	28
2	и в	44	28
3	то что	18	28
4	в этом	21	27
5	того что	9	24
6	потому что	6	22
7	не может	8	19
8	том что	29	19
9	таким образом	7	18
10	что он	10	18
11	только в	10	18
12	что в	30	17
13	не только	18	16
14	так же	5	15
15	может быть	15	13
16	сказать что	7	13
17	точки зрения	11	13
18	тому что	3	11
19	и не	16	11
20	как бы	4	11
21	что мы	5	11
22	в отношении	9	10
23	но и	10	10
24	по отношению	3	10
25	так как	5	10
26	но не	3	10
27	отношению к	3	10
28	того чтобы	11	10
29	с точки	8	10
30	было бы	17	9
31	никогда не	5	8
32	в самом	7	8
33	еще не	3	8
34	тем самым	2	8
35	для того	10	8
36	тем что	5	8
37	того же	3	7
38	если бы	9	7
39	в нем	5	7
40	в сущности	2	7
41	в своем	2	7
42	заключается в	4	7
43	что оно	3	7
44	отношение к	2	7
45	он не	2	7
46	то же	5	7
47	можно было	13	7
48	там где	5	7
49	в которой	4	7
50	же как	3	6
51	так что	6	6
52	и что	4	6
53	для него	6	6
54	не имеет	4	6
55	в то	9	6
56	его в	2	6
57	как и	9	6
58	то время	2	6
59	так и	9	6
60	как раз	4	6
61	мы не	2	6
62	вообще не	2	6
63	в чем	3	6
64	в области	14	6
65	это не	8	5
66	вопрос о	4	5
67	и тем	3	5
68	языка и	4	5
69	время как	2	5
70	и все	2	5
71	но в	10	5
72	что все	2	5
73	то в	3	5
74	из того	2	5
75	могут быть	5	5
76	в этой	11	5
77	я не	7	4
78	именно в	6	4
79	в частности	4	4
80	в наших	2	4
81	на то	4	4
82	что на	2	4
83	не в	12	4
84	например в	8	4
85	на этот	3	4
86	совпадает с	2	4
87	но если	4	4
88	целый ряд	2	4
89	с этим	3	4
90	в первом	2	4
91	мы имеем	2	4
92	в сознании	2	4
93	он должен	2	4
94	ясно что	10	4
95	в качестве	4	4
96	что при	2	4
97	что и	6	4
98	во всех	8	4
99	в той	6	4
100	той же	5	4
101	и то	5	4
102	в себе	2	4
103	которые в	2	4
104	оба эти	2	3
105	из этих	6	3
106	в каждом	3	3
107	как это	4	3
108	всякий раз	2	3
109	есть в	2	3
110	что с	2	3
111	при этом	2	3
112	в первую	2	3
113	в целом	5	3
114	и только	3	3
115	этом отношении	7	3
116	во втором	4	3
117	и по	5	3
118	что то	2	3
119	в своих	2	3
120	больше чем	2	3
121	в основе	3	3
122	по своей	2	3
123	от этого	2	3
124	должен был	2	3
125	связанные с	3	3
126	в случае	2	3
127	раз в	2	3
128	это и	4	3
129	первую очередь	2	3
130	до сих	7	3
131	не по	3	3
132	в его	9	3
133	сих пор	7	3
134	как в	13	3
135	а не	16	3
136	и его	8	3
137	этот вопрос	4	3
138	не знает	2	3
139	отношения к	2	3
140	не менее	5	2
141	на вопрос	4	2
142	но на	2	2
143	из которого	2	2
144	в этих	2	2
145	для этого	2	2
146	точку зрения	3	2
147	с другой	9	2
148	с этой	3	2
149	в конце	3	2
150	это в	4	2
151	была бы	5	2
152	прежде всего	7	2
153	для нас	7	2
154	но это	6	2
155	и более	2	2
156	является не	4	2
157	самом деле	11	2
158	имеем дело	2	2
159	в пользу	2	2
160	этого вопроса	2	2
161	несмотря на	2	2
162	в котором	5	2
163	во второй	9	2
164	из них	8	2
165	все это	5	2
166	другой стороны	7	2
167	меньшей мере	3	2
168	все эти	5	2
169	этой области	5	2
170	в других	2	2
171	в которых	5	2
172	но он	2	2
173	что у	4	2
174	не являются	3	2
175	том смысле	2	2
176	том как	4	2
177	у него	2	2
178	в такой	2	2
179	которыми он	2	2
180	этом случае	2	2
181	у нас	11	2
182	по существу	2	2
183	чем в	3	2
184	она не	2	2
185	невозможно было	2	2
186	в своей	6	2
187	этого слова	2	2
188	втором случае	2	2
189	все же	8	2
190	внимание на	3	2
191	дело с	2	2
192	а в	17	2
193	хотя в	2	2
194	но с	3	2
195	рода в	2	2
196	в данном	14	2
197	к которому	4	2
198	в другом	3	2
199	и вообще	3	2
200	что они	7	2
201	что эта	2	2
202	в новом	4	2
