N	2gram	Bakhtin_Fr_2	KulturaY
1	и в	49	23
2	точки зрения	6	23
3	в том	3	22
4	не только	17	17
5	было бы	3	16
6	в этом	15	16
7	с точки	5	16
8	в области	4	14
9	может быть	5	14
10	что в	2	13
11	в самом	3	13
12	том что	4	11
13	в его	18	11
14	того чтобы	2	11
15	можно было	3	11
16	и не	15	10
17	прежде всего	19	9
18	еще не	2	9
19	таким образом	7	9
20	так как	6	9
21	лишь в	4	8
22	до сих	4	8
23	сих пор	4	8
24	как на	4	8
25	в виду	3	8
26	в нашем	2	7
27	с другой	4	7
28	на фоне	2	7
29	сказать что	6	7
30	все эти	7	7
31	того как	2	7
32	что он	3	6
33	тот же	5	6
34	при этом	5	6
35	так и	6	6
36	в их	2	6
37	не может	7	6
38	то же	7	6
39	могут быть	2	6
40	связи с	2	6
41	только в	13	6
42	о том	3	6
43	ничего не	2	6
44	вовсе не	10	5
45	как и	11	5
46	совершенно не	2	5
47	хотя и	2	5
48	как бы	11	5
49	все же	7	5
50	в связи	2	5
51	как мы	7	5
52	а в	4	5
53	но это	2	5
54	также и	3	5
55	тем что	4	5
56	из этих	5	5
57	далеко не	3	5
58	один из	7	4
59	одной стороны	3	4
60	в сущности	8	4
61	в своей	5	4
62	и о	4	4
63	в ее	3	4
64	точка зрения	3	4
65	то что	6	4
66	целый ряд	2	4
67	в своем	5	4
68	не было	4	4
69	с одной	3	4
70	тех же	2	4
71	уже в	5	3
72	и более	4	3
73	что слово	2	3
74	на самом	2	3
75	именно в	6	3
76	xix века	2	3
77	и к	4	3
78	в отношении	2	3
79	ни в	3	3
80	по существу	2	3
81	это и	2	3
82	мы видели	3	3
83	но не	5	3
84	по поводу	2	3
85	в первую	2	3
86	по преимуществу	2	3
87	только то	2	3
88	отношение к	8	3
89	зрения на	2	3
90	но и	13	3
91	другой стороны	3	3
92	пор еще	2	3
93	мы находим	4	3
94	и вот	3	3
95	в ней	2	3
96	и с	6	3
97	в то	6	3
98	мы должны	2	3
99	там где	4	3
100	учение о	2	2
101	все это	9	2
102	но все	4	2
103	о чем	3	2
104	своей статье	2	2
105	точку зрения	2	2
106	в одном	3	2
107	на материале	2	2
108	это в	2	2
109	в условиях	2	2
110	не дает	3	2
111	в тех	2	2
112	можно сказать	2	2
113	в дальнейшем	2	2
114	эти два	2	2
115	что они	2	2
116	свое время	3	2
117	в большей	3	2
118	в качестве	2	2
119	за пределы	2	2
120	в свое	4	2
121	дает нам	2	2
122	в пределах	2	2
123	вместе с	2	2
124	значение в	4	2
125	собственном смысле	2	2
126	он пишет	3	2
127	и без	2	2
128	так в	3	2
129	как к	2	2
130	смысл и	2	2
131	в особенности	5	2
132	именно на	2	2
133	так же	2	2
134	очень много	2	2
135	во всяком	2	2
136	еще раз	2	2
137	на протяжении	7	2
138	тому как	2	2
139	для которого	3	2
140	в этих	4	2
141	здесь не	2	2
142	относится к	5	2
143	но в	4	2
