N	2gram	Trubetskoy_1	Tvorches
1	и в	14	20
2	не только	9	13
3	и т	3	13
4	никогда не	5	11
5	как бы	4	11
6	в его	4	10
7	таким образом	11	10
8	в то	10	10
9	и не	19	9
10	прежде всего	8	8
11	в том	17	8
12	при этом	5	8
13	но и	10	8
14	может быть	9	8
15	в этом	17	8
16	и с	7	8
17	же время	10	7
18	что в	4	7
19	не может	22	7
20	то же	11	7
21	потому что	5	7
22	у него	2	6
23	в конце	3	6
24	что он	6	6
25	как и	4	6
26	в своей	5	6
27	все это	6	6
28	именно в	3	6
29	а не	2	6
30	в мире	4	5
31	но это	2	5
32	еще не	3	5
33	но не	4	5
34	все же	4	5
35	и даже	2	5
36	так же	2	5
37	и на	5	5
38	в этой	4	5
39	о том	7	5
40	и от	2	4
41	том что	9	4
42	что они	3	4
43	отнюдь не	7	4
44	если не	2	4
45	все эти	2	4
46	тем самым	2	4
47	не в	4	4
48	а в	5	4
49	и потому	3	4
50	если бы	6	4
51	но в	2	4
52	место в	2	3
53	а с	2	3
54	он сам	3	3
55	жизни в	5	3
56	с ним	2	3
57	одна из	3	3
58	для него	6	3
59	одной из	3	3
60	в самом	3	3
61	он не	5	3
62	в котором	2	3
63	в нем	5	3
64	то что	13	3
65	вместе с	4	3
66	сих пор	5	3
67	в их	4	3
68	по отношению	2	3
69	тогда как	2	3
70	так как	4	3
71	уже не	2	3
72	в таком	2	3
73	этот вопрос	2	3
74	тем что	3	3
75	в своих	6	3
76	в себе	9	3
77	в начале	2	3
78	его в	4	3
79	любви к	2	3
80	между тем	5	3
81	до сих	5	3
82	ни к	7	2
83	зависит от	2	2
84	себя на	2	2
85	и есть	2	2
86	от этой	2	2
87	его и	2	2
88	точку зрения	4	2
89	во всяком	9	2
90	так что	2	2
91	которой он	4	2
92	и если	7	2
93	в частности	2	2
94	том же	2	2
95	но если	3	2
96	отказаться от	4	2
97	всяком случае	6	2
98	только для	2	2
99	себя в	4	2
100	приводит к	4	2
101	и тогда	2	2
102	не было	3	2
103	сводится к	3	2
104	самом деле	7	2
105	и что	2	2
106	во что	3	2
107	и наконец	2	2
108	не так	2	2
109	и по	3	2
110	друг друга	3	2
111	во многих	2	2
112	из них	3	2
113	в виде	3	2
114	говорить о	3	2
115	и только	5	2
116	только в	5	2
117	в россии	6	2
118	из этого	3	2
119	их в	2	2
120	только с	2	2
